premise	hypothesis	label
Hori zen salbatu nahi genuen gauza nagusia, ez baitzegoen modurik 20 megatoiko hidrogeno bonba bat botatzeko 30 batetik, C124 batetik.	Gauza bat salbatu nahi genuen, besteak baino gehiago.	0
Hori zen salbatu nahi genuen gauza nagusia, ez baitzegoen modurik 20 megatoiko hidrogeno bonba bat botatzeko 30 batetik, C124 batetik.	Hidrogeno bonba salbatu nahi genuen, oso zaila izan zelako harekin jardutea.	1
Ez nago ziur zergatik.	Ziur nago arrazoiaz.	2
Ez nago ziur zergatik.	Ez dakit zergatik aldatu zuen eskola.	1
Ez nago ziur zergatik.	Ez dakit zergatik gertatu zen hori.	0
Hau Fannie Flono da, eta Augustan hazi zen, Georgian, eta bere haurtzaroko istorio batzuei buruz hitz egingo du.	Fannie Flonok hitzordua aldatu behar izan du, eta gaur ezin digu konturik kontatu.	2
Hau Fannie Flono da, eta Augustan hazi zen, Georgian, eta bere haurtzaroko istorio batzuei buruz hitz egingo du.	Fannie Flono hemen da, eta Augustan, Georgian, haurtzaroko istorioak kontatuko dizkigu, Augustan, Georgian, hazi zenekoak.	0
Hau Fannie Flono da, eta Augustan hazi zen, Georgian, eta bere haurtzaroko istorio batzuei buruz hitz egingo du.	Fannie Flonok gaur gurekin hitz egin ahal izan du, agenda estua izan arren.'	1
Eta nik bost U2 destakamendu nituen.	U2ez arduratu nintzen.	0
Eta nik bost U2 destakamendu nituen.	Ez nintzen inola ere U2ez arduratu.	2
Eta nik bost U2 destakamendu nituen.	U2 destakamenduekin lan egin nuen egunero berrogei urtez.	1
Ni nintzen miniaturazko altitude ganberetan probarako erregulagailuak erabiltzen zituen bakarra.	Ez nuen gustuko probetarako erregulagailuak zerabiltzan bakarra izatea.	1
Ni nintzen miniaturazko altitude ganberetan probarako erregulagailuak erabiltzen zituen bakarra.	Miniaturazko altitude ganberetan probak egiten ziren.	0
Ni nintzen miniaturazko altitude ganberetan probarako erregulagailuak erabiltzen zituen bakarra.	Gutako batzuek erabiltzen genituen erregulagailuak probetarako.	2
Sarjentu burua naiz, erretiratua, Rickek esan zuen bezala.	Oraindik ere ari naiz lanean.	2
Sarjentu burua naiz, erretiratua, Rickek esan zuen bezala.	2002an erretiratu nintzen.	1
Sarjentu burua naiz, erretiratua, Rickek esan zuen bezala.	Rickek erretiratuta nagoela esan zizun.	0
Diru fluxuaren proiekzio batzuk daude mahai gainean, eta, Cutty delako batentzat da, hori da bezeroaren izena.	Cutty izeneko bezeroak hilean 10000 $ irabazten du.	1
Diru fluxuaren proiekzio batzuk daude mahai gainean, eta, Cutty delako batentzat da, hori da bezeroaren izena.	Cutty izeneko bezero bat dago.	0
Diru fluxuaren proiekzio batzuk daude mahai gainean, eta, Cutty delako batentzat da, hori da bezeroaren izena.	Ez dugu Cutty izeneko bezerorik.	2
Lagun diezadakeen neska hiriaren beste aldean dago.	Urrun bizi da neska, zeinaren laguntza behar dudan	0
Lagun diezadakeen neska hiriaren beste aldean dago.	Lagunduko didan neska 5 miliara dago.	1
Lagun diezadakeen neska hiriaren beste aldean dago.	Inork ezin dit lagundu.	2
Baina zelaiko eskuak nortzuk ziren eta etxeko haurrak nortzuk ziren, horrela zen...	Denek adostu zuten guztiek lan egingo zutela landan.	2
Baina zelaiko eskuak nortzuk ziren eta etxeko haurrak nortzuk ziren, horrela zen...	Ezin izan zuten adostu nor zen egokia landa lanerako eta nor etxerako.	0
Baina zelaiko eskuak nortzuk ziren eta etxeko haurrak nortzuk ziren, horrela zen...	Ezin izan zuten adostu nork egin behar zuen lan kotoi zelaietan eta nork garbitu behar zituen etxeko lurrak.	1
Hirugarren SSaz, U2 Quick eta Blackbird ari buruz hitz egingo digu gaur.'	Gehiago ez hitz egitea erabaki du.	2
Hirugarren SSaz, U2 Quick eta Blackbird ari buruz hitz egingo digu gaur.'	Hiru itsaspeko ezberdinez ari da.	1
Hirugarren SSaz, U2 Quick eta Blackbird ari buruz hitz egingo digu gaur.'	Hiru gauzaz hitz egiten du.	0
Bost seme-alaba besterik ez zituzten, eta horietako bat hil egin zen.	Seme-alaba guztiak bizirik irten ziren.	2
Bost seme-alaba besterik ez zituzten, eta horietako bat hil egin zen.	Haur bat bost urterekin hil zen.	0
Bost seme-alaba besterik ez zituzten, eta horietako bat hil egin zen.	Hil zen umea gaixo jaio zen.	1
Eta, jakina, Androv Gromikovek ez zuen ezer erantzun, baina informazio guztia genuen, U2ak grabatutako filmetatik.	U2ak film asko egin zituen.	0
Eta, jakina, Androv Gromikovek ez zuen ezer erantzun, baina informazio guztia genuen, U2ak grabatutako filmetatik.	U2ak asko grabatu zuen ur azpian.	1
Eta, jakina, Androv Gromikovek ez zuen ezer erantzun, baina informazio guztia genuen, U2ak grabatutako filmetatik.	Ez genuen metraiarik, beraz, asmatu bakarrik egin genezakeen.	2
Esan zuen malkoak bakarrik zerizkiola begietatik, eta esan zuen gero Joe ataripera etorri zela.	Ataripera etortzeko esan zionean, malkoak zituen begietan.	0
Esan zuen malkoak bakarrik zerizkiola begietatik, eta esan zuen gero Joe ataripera etorri zela.	Berehala lehortu zituen malkoak Joe ataritik bota ondoren.	2
Esan zuen malkoak bakarrik zerizkiola begietatik, eta esan zuen gero Joe ataripera etorri zela.	Hain zegoen pozik, ezen Joe negarrez hasi baitzen.	1
Aireontzia sutan egonik ere, erre egingo litzateke, eta urtu egin beharko litzateke, berunezko piezan barrena, erradiazioa ateratzeko.	Erradiazioari sute batean ere eutsi dakioke.	1
Aireontzia sutan egonik ere, erre egingo litzateke, eta urtu egin beharko litzateke, berunezko piezan barrena, erradiazioa ateratzeko.	Erradiazioa berunezko pieza batetik aterako litzateke, hegazkina erre ondoren.	0
Aireontzia sutan egonik ere, erre egingo litzateke, eta urtu egin beharko litzateke, berunezko piezan barrena, erradiazioa ateratzeko.	Erradiazioa ez litzateke irtengo sute batean.	2
Clem Francis sarjentu burua da, AEBetako Aireko Indarretatik erretiratua.	Sarjentu burua AEBetako Aireko Indarretik erretiratuta dago.	0
Clem Francis sarjentu burua da, AEBetako Aireko Indarretatik erretiratua.	Sarjentu burua duela aste batzuk erretiratu zen.	1
Clem Francis sarjentu burua da, AEBetako Aireko Indarretatik erretiratua.	AEBetako Aireko Indarretako buruak aste honetan hasi du karrera.	2
Beno, une batean, astebetean bizpahiru aireontzi iritsi ziren, eta ez nekien nora zihoazen hegan.	Astero hegazkin bat baino gehiago iristen da.	0
Beno, une batean, astebetean bizpahiru aireontzi iritsi ziren, eta ez nekien nora zihoazen hegan.	Aireko zirkulazioa ugariagoa arazotsua da.	1
Beno, une batean, astebetean bizpahiru aireontzi iritsi ziren, eta ez nekien nora zihoazen hegan.	Inoiz ez da aireontzirik iristen.	2
Presio jantzi osoekin entrenamendua jaso zuten jada, eta horretarako denbora behar zen.	Hiru hilabete behar dira presio jantzi osoa erabiltzeko entrenamendua osatzeko.	1
Presio jantzi osoekin entrenamendua jaso zuten jada, eta horretarako denbora behar zen.	Presio jantzi osoa erabiltzeko entrenamenduak denbora hartzen du.	0
Presio jantzi osoekin entrenamendua jaso zuten jada, eta horretarako denbora behar zen.	Eguna amaitzerako presio jantzi osoa erabiltzeko treba zaitzakegu.	2
Esan nahi dut ez zegoela lehergailuarekin sartzeko arriskurik, ez baitzen lehertuko lurzorua oso gogor jota ere.	Pilotuak bonba desaktibatu zuen.	1
Esan nahi dut ez zegoela lehergailuarekin sartzeko arriskurik, ez baitzen lehertuko lurzorua oso gogor jota ere.	Bonbak ez zuen lehertzeko aukerarik.	0
Esan nahi dut ez zegoela lehergailuarekin sartzeko arriskurik, ez baitzen lehertuko lurzorua oso gogor jota ere.	Arrisku handia zegoen bonba lehertzeko.	2
Saiatzen ari naizen hori bera dela dirudi.	Ez nago ziur zer tankera hartzen diozun.	2
Saiatzen ari naizen hori bera dela dirudi.	Hori egiten saiatzen ari naiz, noski.	0
Saiatzen ari naizen hori bera dela dirudi.	Nire proiektua datorren asterako amaitzen saiatzen ari naiz.	1
Hala ere, animaliak solte gelditzen ziren, ahuntzak batez ere.	Ahuntzek aletegitik ihes egin zuten egunero.	1
Hala ere, animaliak solte gelditzen ziren, ahuntzak batez ere.	Ahuntzek sarritan egiten zuten ihes.	0
Hala ere, animaliak solte gelditzen ziren, ahuntzak batez ere.	Ahuntzak seguru mantentzen genituen.	2
Ateak itxita zeuden sartu ginenean.	Ate guztiak irekita zeuden.	2
Ateak itxita zeuden sartu ginenean.	Giltzak aldean genituen.	1
Ateak itxita zeuden sartu ginenean.	Barrura sartu ginen, nahiz eta ateak itxita egon.	0
Beraz, guztizkoak hartu eta horrela moldatu behar izan nuen.	Ziur nago guztizkoak direla hori ulertzeko behar dudan guztia.	1
Beraz, guztizkoak hartu eta horrela moldatu behar izan nuen.	Guztizkoekin bakarrik ez dakit zer egin, mesedez, eman xehetasun gehiago desordena hori ebazteko.	2
Beraz, guztizkoak hartu eta horrela moldatu behar izan nuen.	Guztizkoetan oinarrituta kalkulatuko dut.	0
Etorri zen, atea ireki zuen, eta gogoan daukat atzera begiratu nuela eta aurpegiko keinua ikusi nion, eta konturatu nintzen dezepzionatuta zegoela.	Hain gogotsu zegoen, eta alaitasunez beteta, ia atea markotik atera baitzuen.	2
Etorri zen, atea ireki zuen, eta gogoan daukat atzera begiratu nuela eta aurpegiko keinua ikusi nion, eta konturatu nintzen dezepzionatuta zegoela.	Gu errudun ez sentiarazten saiatu zen, baina bagenekien arazoak ekarri genizkiola.	1
Etorri zen, atea ireki zuen, eta gogoan daukat atzera begiratu nuela eta aurpegiko keinua ikusi nion, eta konturatu nintzen dezepzionatuta zegoela.	Atea gurutzatzean zuen aurpegia ikusita, bagenekien dezepzionatuta zegoela.	0
Ez dut denda zehatzik.	Ez daukat denda berezirik.	0
Ez dut denda zehatzik.	Denda espezifiko bat daukat.	2
Ez dut denda zehatzik.	Denda asko daude.	1
Ez zuen inoiz ezer bere kabuz egin behar izan.	Laguntza handia jasotzen du.	0
Ez zuen inoiz ezer bere kabuz egin behar izan.	Lagundu egiten diote janariekin eta arroparekin.	1
Ez zuen inoiz ezer bere kabuz egin behar izan.	Oso independentea da.	2
Beraz, pentsatu nuen, Jainkoa nirea, eta Ramona han zegoen zutik.	Ramona lurrean zegoen, fetu posizioan kiribilduta.	2
Beraz, pentsatu nuen, Jainkoa nirea, eta Ramona han zegoen zutik.	Ramonak isilpean ni epaitzen ari zen.	1
Beraz, pentsatu nuen, Jainkoa nirea, eta Ramona han zegoen zutik.	Ramona tente zegoen, ni zur eta lur nengoen bitartean.	0
Eta kontua da arina zela!	Asko jan zuen, baina, hala ere, ez zuen pisurik hartzen.	1
Eta kontua da arina zela!	Ez zen oso astuna.	0
Eta kontua da arina zela!	Oso pozik zegoen.	2
Ez dakit Augustan gelditu ote zen horren ondoren.	Augustan bizitzen jarraitu zuen, baita erasoen ondoren ere.	1
Ez dakit Augustan gelditu ote zen horren ondoren.	Augustan bizitzen jarraitu zuen.	0
Ez dakit Augustan gelditu ote zen horren ondoren.	Augustatik kanpora joan zen berehala.	2
Ez ziguten inoiz esaten nora zihoazen, ezta basetik norabait joaten zirenean tarte batez han gelditzeko.	Ez nuen inoiz galdetzen nora zihoazen.	1
Ez ziguten inoiz esaten nora zihoazen, ezta basetik norabait joaten zirenean tarte batez han gelditzeko.	Beti esaten ziguten non zeuden eta norantz zihoazen.	2
Ez ziguten inoiz esaten nora zihoazen, ezta basetik norabait joaten zirenean tarte batez han gelditzeko.	Ez ziguten inoiz esaten nora zihoazen.	0
Esan zuten: leku bat ordaintzen ari gara, han egon zaitezen.	Ez dute ezer ordainduko gugatik.	2
Esan zuten: leku bat ordaintzen ari gara, han egon zaitezen.	Etxebizitza ordaintzen ari dira niretzat eta anai-arrebentzat.	1
Esan zuten: leku bat ordaintzen ari gara, han egon zaitezen.	Etxebizitza ordaintzen ari dira.	0
Beno, hurrengo egunean, jakina, Kennedy presidenteak blokeoa ezarri zuen Kuba, gure ontziek ontzi errusiar bat geldiarazi zuten zuten Kubatik kanpora zihoala, eta misilak aurkitu zituzten.	Kennedyk misilak bilatzeko esan zien gure tropei.	0
Beno, hurrengo egunean, jakina, Kennedy presidenteak blokeoa ezarri zuen Kuba, gure ontziek ontzi errusiar bat geldiarazi zuten zuten Kubatik kanpora zihoala, eta misilak aurkitu zituzten.	Ez zuten itsasontzirik atxilotu gatazkarik nahi ez zutelako.	2
Beno, hurrengo egunean, jakina, Kennedy presidenteak blokeoa ezarri zuen Kuba, gure ontziek ontzi errusiar bat geldiarazi zuten zuten Kubatik kanpora zihoala, eta misilak aurkitu zituzten.	20 misil aurkitu zituzten ontzian.	1
Gizona sartu egi zen.	Gizona epaitegian sartu zen.	1
Gizona sartu egi zen.	Gizona gelan sartu zen.	0
Gizona sartu egi zen.	Gizonak beste aldera egin zuen korrika.	2
Nire aitona-amonak beti izan ziren oso-oso maitekorrak, eta gurasoak ere bai, eta oso ondo pasatzen genuen han.	Luze jotzen zuen aitona-amonaren etxerako bideak, kotxez.	1
Nire aitona-amonak beti izan ziren oso-oso maitekorrak, eta gurasoak ere bai, eta oso ondo pasatzen genuen han.	Nire aitona-amonak oso bikote maitekorra ziren.	0
Nire aitona-amonak beti izan ziren oso-oso maitekorrak, eta gurasoak ere bai, eta oso ondo pasatzen genuen han.	Aitona-amonak oso marmartiak izan ziren beti, eta ez genuen gustuko haien etxera joatea.	2
Ez nuen astirik dena delako gauzak sartzeko.	Beranduago buka nezakeen hori sartzen.	1
Ez nuen astirik dena delako gauzak sartzeko.	Garaiz sartu nuen dena.	2
Ez nuen astirik dena delako gauzak sartzeko.	Sartzeko denborarik gabe gelditu nintzen.	0
Eta nire lanetako bat zen jendea entrenatzea bonba atomikoa bera leherrarazten duen arma nuklearren tiragailuei paraxuta jartzen.	Bonba atomikoak ez du tiragailurik.	2
Eta nire lanetako bat zen jendea entrenatzea bonba atomikoa bera leherrarazten duen arma nuklearren tiragailuei paraxuta jartzen.	Tiragailuak bonba leherrarazten du tira egitean.	0
Eta nire lanetako bat zen jendea entrenatzea bonba atomikoa bera leherrarazten duen arma nuklearren tiragailuei paraxuta jartzen.	Indar pixka bat besterik ez da behar bonba atomikoaren tiragailuari tira egiteko.	1
Amonak bere txikitako istorio asko kontatzen zizkidan, eta, bereziki, familiaz hitz egiten zuen, eta garai haiek nolakoak ziren.	Beti gozatzen amonaren istorioak entzuten.	1
Amonak bere txikitako istorio asko kontatzen zizkidan, eta, bereziki, familiaz hitz egiten zuen, eta garai haiek nolakoak ziren.	Amonak inoiz ez zuen haurtzaroaz hitz egiten.	2
Amonak bere txikitako istorio asko kontatzen zizkidan, eta, bereziki, familiaz hitz egiten zuen, eta garai haiek nolakoak ziren.	Amonak gauza asko kontatu zizkidan familiari buruz, hazten ari zen garaikoak.	0
Presio jantzi osoak genituen hegazkinean, astronautek janzten zituzten bezalakoak, baina gureak zilar kolorekoak ziren osorik, botak eta guzti, beroa islatzeko, noski.	Gure jantziak ez ziren astronautek zutena bezalakoak.	2
Presio jantzi osoak genituen hegazkinean, astronautek janzten zituzten bezalakoak, baina gureak zilar kolorekoak ziren osorik, botak eta guzti, beroa islatzeko, noski.	Gure jantziak astronauten berdinak ziren, beroa islatzeko gureak zilar kolorekoak zirela izan ezik.	0
Presio jantzi osoak genituen hegazkinean, astronautek janzten zituzten bezalakoak, baina gureak zilar kolorekoak ziren osorik, botak eta guzti, beroa islatzeko, noski.	Nahi duzun koloreko jantziak lor ditzakezu.	1
Aitona ez zen gizon atsegina.	Aitona ergela zen.	0
Aitona ez zen gizon atsegina.	Aitona benetan arrazista eta krudela zen.	1
Aitona ez zen gizon atsegina.	Aitona inoiz ezagutu nuen tipo atseginena zen!	2
30 edo 40 U2 hegazkin dira, eta pilotu txinatarrek, pilotu britainiarrek, mundu osoko gure aliatuekin hasi genuen entrenamendua.	Ez genuen entrenamendurik inorekin egin.	2
30 edo 40 U2 hegazkin dira, eta pilotu txinatarrek, pilotu britainiarrek, mundu osoko gure aliatuekin hasi genuen entrenamendua.	Britainiarrekin 5 astez entrenatu genuen.	1
30 edo 40 U2 hegazkin dira, eta pilotu txinatarrek, pilotu britainiarrek, mundu osoko gure aliatuekin hasi genuen entrenamendua.	Beste soldadu askorekin entrenatu genuen.	0
Esan zuen: begira, bilatu hau halako konpainiaren inguruan.	Ez zidan hitz egin.	2
Esan zuen: begira, bilatu hau halako konpainiaren inguruan.	Zerbait bilatzeko esan zidan.	0
Esan zuen: begira, bilatu hau halako konpainiaren inguruan.	Haien informazio finantzarioa bilatzeko esan zidan.	1
Iparraldera joan zirela esan zuen.	Bidean geldialdi batzuk egin zituztela esan zuen.	1
Iparraldera joan zirela esan zuen.	Hegoaldera joan zirela esan zuen.	2
Iparraldera joan zirela esan zuen.	Iparraldera joan zirela esan zuen.	0
Ez, zintzoa izateko, inoiz ez nuen irakurri irakurri behar nuen libururik.	Ez dut 100 orrialde baino gehiagoko libururik irakurri inoiz.	1
Ez, zintzoa izateko, inoiz ez nuen irakurri irakurri behar nuen libururik.	Ez dut liburu askorik irakurri.	0
Ez, zintzoa izateko, inoiz ez nuen irakurri irakurri behar nuen libururik.	Egunero irakurtzen ditut liburuak.	2
Aurrera jarraitu, ekipajea jaso eta joan behar nuen helbidera joan nintzen.	Maleta utzi nuen, eta nire arazoa ez zela pentsatu nuen.	2
Aurrera jarraitu, ekipajea jaso eta joan behar nuen helbidera joan nintzen.	Maleta bere apartamentura eraman nuen.	1
Aurrera jarraitu, ekipajea jaso eta joan behar nuen helbidera joan nintzen.	Maleta ere lekura eraman nuen.	0
Umore aldaketa izugarria izan zen.	Umoreari eutsi zion erabat.	2
Umore aldaketa izugarria izan zen.	Alai egotetik triste egotera pasatu zen.	1
Umore aldaketa izugarria izan zen.	Aldartea asko aldatu zen.	0
15 pertsona baino gehiagoren artean aukeratu ninduten eskola horretara joateko, eta ez naiz joango.	Ez ninduten aukeratu eskolara joateko.	2
15 pertsona baino gehiagoren artean aukeratu ninduten eskola horretara joateko, eta ez naiz joango.	Eskola horretara joateko aukeratu ninduten.	0
15 pertsona baino gehiagoren artean aukeratu ninduten eskola horretara joateko, eta ez naiz joango.	Ni zen hautagai sinesgarriena.	1
Hainbat altitude ganberatatik igaro behar dute, hainbat bider, U2ak pilotatzen hasi aurretik edo edo presio jantziekin hegan egin aurretik.	Gehienek huts egiten dute probetan, eta inoiz ez dira iristen U2ak pilotatzera.	1
Hainbat altitude ganberatatik igaro behar dute, hainbat bider, U2ak pilotatzen hasi aurretik edo edo presio jantziekin hegan egin aurretik.	U2ak pilotatu aurretik, entrenamendu luzea behar dute.	0
Hainbat altitude ganberatatik igaro behar dute, hainbat bider, U2ak pilotatzen hasi aurretik edo edo presio jantziekin hegan egin aurretik.	Lehen egunean U2ak pilotatzen uzten dute.	2
Gauza bera ari naiz estaltzen.	Material guztiz berria estaltzen dut.	2
Gauza bera ari naiz estaltzen.	Beste aldizkarietako gauza bera estaltzen dut.	1
Gauza bera ari naiz estaltzen.	Haien gauza berdinez ari naiz hizketan.	0
75 urtean hori gertatu zen lehen aldia izan zen, Texasko legebiltzarrak unitate militar baten alde bozkatu zuela Texasko enbaxadore izateko. Hau da, Texasko enbaxadoreak behar zituzten.	Unitate militarren ezin dute Texasko enbaxadore izan.	2
75 urtean hori gertatu zen lehen aldia izan zen, Texasko legebiltzarrak unitate militar baten alde bozkatu zuela Texasko enbaxadore izateko. Hau da, Texasko enbaxadoreak behar zituzten.	Unitate militarra Texasko enbaxadore izendatu zuten Estatu Batuetako Kongresurako.	1
75 urtean hori gertatu zen lehen aldia izan zen, Texasko legebiltzarrak unitate militar baten alde bozkatu zuela Texasko enbaxadore izateko. Hau da, Texasko enbaxadoreak behar zituzten.	Unitate militarra Texasko enbaxadore izendatu zuten.	0
Zerbait egin al dezaket?.	Zerbait egin nezakeen.	0
Zerbait egin al dezaket?.	Banekien ez nuela ezer egiterik.	2
Zerbait egin al dezaket?.	Salbatzeko zerbait egin nezakeela uste dut.	1
Gorroto zuen hori, eta egunero esaten zion ahizpari gaizki ari zela.	Beti animatu zuen ahizpa.	2
Gorroto zuen hori, eta egunero esaten zion ahizpari gaizki ari zela.	Argi utzi zuen arrebak ezin zuela ezer ondo egin.	1
Gorroto zuen hori, eta egunero esaten zion ahizpari gaizki ari zela.	Oso kritikoa zen arrebarekin.	0
Haren etxera joan nintzen, eta, gero, heltzean deitu behar nuen zenbakira deitu nuen.	Telefonoa hartu nuen deia egiteko.	1
Haren etxera joan nintzen, eta, gero, heltzean deitu behar nuen zenbakira deitu nuen.	Etxera iritsi nintzenean, zenbaki horretara deitu nuen.	0
Haren etxera joan nintzen, eta, gero, heltzean deitu behar nuen zenbakira deitu nuen.	Deitu egin behar nuen, baina ez nuen egin.	2
Beno, gaur goizean iritsi naiz, eta, ahaztu egin zait nola, uste dut galdera bat egin dudala eta hura agertu dela.	Ez naiz joan gaur, eta ez dut ikusi.	2
Beno, gaur goizean iritsi naiz, eta, ahaztu egin zait nola, uste dut galdera bat egin dudala eta hura agertu dela.	Gaur gimnasiora joan naiz, eta geroago etorri da, eta agurtu egin nau.	1
Beno, gaur goizean iritsi naiz, eta, ahaztu egin zait nola, uste dut galdera bat egin dudala eta hura agertu dela.	Gaur goizean joan naiz, eta hura ere bai.	0
Ez genekien nora zihoazen.	Ez genekien non zihoan taldea estatu arteko errepidean.	1
Ez genekien nora zihoazen.	Ez genekien jendea nora zihoan.	0
Ez genekien nora zihoazen.	Bagenekien, zehatz-mehatz, nora zihoazen.	2
Baina pentsatu nuen, ahaztu, gosea dudan bitartean hamaiketakoa jango dut.	Ez zuen batere goserik.	2
Baina pentsatu nuen, ahaztu, gosea dudan bitartean hamaiketakoa jango dut.	Gose nintzen, eta hamaiketakoa jatea erabaki nuen.	0
Baina pentsatu nuen, ahaztu, gosea dudan bitartean hamaiketakoa jango dut.	Gosez hiltzen nintzen eta kafetegira joan nintzen.	1
Pentsa, gaur ia lana uzteko puntura iritsi naiz.	Ia utzi egin dut.	0
Pentsa, gaur ia lana uzteko puntura iritsi naiz.	Hainbesteko mina eman didate, ezin bainuen gehiago.	1
Pentsa, gaur ia lana uzteko puntura iritsi naiz.	Inoiz ez zitzaidan bururatu lana uztea.	2
1880 inguruan, 1889an, uste dut, orduan jaio zela esango nuke.	1900 baino lehen jaio zen.	0
1880 inguruan, 1889an, uste dut, orduan jaio zela esango nuke.	1880ko abenduan jaio zen.	1
1880 inguruan, 1889an, uste dut, orduan jaio zela esango nuke.	1984 arte ez zen jaio.	2
Hobe da torloju txikia pixka bat askatzea, kalte egin baitiezaiokete birikei, oso erraz.	Torloju horrek norbaiten birikak honda ditzake.	0
Hobe da torloju txikia pixka bat askatzea, kalte egin baitiezaiokete birikei, oso erraz.	Torlojuak ez du arriskurik, beraz, nahi adina estutu.	2
Hobe da torloju txikia pixka bat askatzea, kalte egin baitiezaiokete birikei, oso erraz.	Torlojua trakean sartzen da, eta birikak honda ditzake.	1
Del Riora (Texas) joateko aginduak jaso nituen, eta hara iritsi nintzenean, beno, Aireko Indarren Laughlin basera joan behar nuela jakin nuen.	Del Riora, Texasera, bidali ninduten lan egitera.	0
Del Riora (Texas) joateko aginduak jaso nituen, eta hara iritsi nintzenean, beno, Aireko Indarren Laughlin basera joan behar nuela jakin nuen.	Inoiz ez naiz egon Texasen.	2
Del Riora (Texas) joateko aginduak jaso nituen, eta hara iritsi nintzenean, beno, Aireko Indarren Laughlin basera joan behar nuela jakin nuen.	Aire Indarrek Del Riora bidali ninduten, Texasera, 2001ean.	1
Mundu guztiari xanpaina ematen zitzaion, eta batzuek ez zuten edaten; beraz, haurrek edaten zuten, hau da, xanpaina hori guztia edaten ibiltzen ginen.	Haurrek 3 botila xanpain edan zituzten.	1
Mundu guztiari xanpaina ematen zitzaion, eta batzuek ez zuten edaten; beraz, haurrek edaten zuten, hau da, xanpaina hori guztia edaten ibiltzen ginen.	Haurrek xanpaina pixka bat edan zuten.	0
Mundu guztiari xanpaina ematen zitzaion, eta batzuek ez zuten edaten; beraz, haurrek edaten zuten, hau da, xanpaina hori guztia edaten ibiltzen ginen.	Jai lehorra zen, eta ez zen alkoholik ematen.	2
Istorio asko daude hiri biluzian.	Ez dut istoriorik entzun.	2
Istorio asko daude hiri biluzian.	Militarrei buruzko istorio asko daude.	1
Istorio asko daude hiri biluzian.	Istorio asko dago kontatzeko.	0
Hegazkinak probatzen dituenean bizi eta ikasi egiten du.	Ez dakit ezer hegazkinak probatzeari buruz.	2
Hegazkinak probatzen dituenean bizi eta ikasi egiten du.	Hegazkinak probatzeak asko irakatsiko dizkizu.	0
Hegazkinak probatzen dituenean bizi eta ikasi egiten du.	Hegazkinak probatzeak presioa nola kudeatu erakusten dizu.	1
Hori da kontua.	Ez dut gakoa ulertzen.	2
Hori da kontua.	Uste dut kontua zela esatea zeinen arriskutsua den.	1
Hori da kontua.	Ulertu dut.	0
Kuba gainetik pasatu zen aireko base batetik, eta, jakina, Rudolph Anderson eraitsi egin zuten.	Hegazkin guztiek iraun zuten, tirorik jaso gabe.	2
Kuba gainetik pasatu zen aireko base batetik, eta, jakina, Rudolph Anderson eraitsi egin zuten.	Zerbait bota zuten tiroz Kuban.	0
Kuba gainetik pasatu zen aireko base batetik, eta, jakina, Rudolph Anderson eraitsi egin zuten.	Hegazkin handia Kuban bota zuten tiroz, maiatzean.	1
