premise	hypothesis	label
Irudikatzen ez den herri bat ezin da existitu.	Badaude herri batzuk etxe guztiak zuriak dituztenak.	1
Irudikatzen ez den herri bat ezin da existitu.	Irudikatzen ez den herri bat ikusi genuen atzo.	2
Euskal preso politikoen alorrean lan egiteagatik 48 pertsonaren aurka egindako eskaera fiskalen berri izan dugu azken egunotan, haietako batzuk 20 urte baino gehiagokoak.	Fiskaltzak zenbait pertsonarentzat zigorrak eskatu ditu.	0
Euskal preso politikoen alorrean lan egiteagatik 48 pertsonaren aurka egindako eskaera fiskalen berri izan dugu azken egunotan, haietako batzuk 20 urte baino gehiagokoak.	Preso politikoen gaian lan egiten duten gehienak Gipuzkoarrak dira.	1
Euskal preso politikoen alorrean lan egiteagatik 48 pertsonaren aurka egindako eskaera fiskalen berri izan dugu azken egunotan, haietako batzuk 20 urte baino gehiagokoak.	Fiskaltzak ontzat eman du preso politikoen gaian ari direnek egiten duten lana.	2
Orain arte euskara maila eskasagatik, selektibitatean nota orokorra asko jaisten zitzaien bertako ikasleei.	Hizkuntza mailak eragina zuen selektibitateko nota orokorrean.	0
Orain arte euskara maila eskasagatik, selektibitatean nota orokorra asko jaisten zitzaien bertako ikasleei.	Iaz inoiz izan diren nota baxuenak izan ziren selektibitateko azterketetan.	1
Orain arte euskara maila eskasagatik, selektibitatean nota orokorra asko jaisten zitzaien bertako ikasleei.	Euskara mailak ez zuen garrantzirik selektibitateko notan.	2
Lagunak dio, mundu guztian ibiliagatik, gaixotzen den egunean bertan itzuliko dela Euskal Herrira.	Munduan zehar dabil laguna.	0
Lagunak dio, mundu guztian ibiliagatik, gaixotzen den egunean bertan itzuliko dela Euskal Herrira.	Laguna ez zen Euskal Herrian jaio.	1
Lagunak dio, mundu guztian ibiliagatik, gaixotzen den egunean bertan itzuliko dela Euskal Herrira.	Lagunak betiko munduan zehar ibiltzeko asmoa duela dio.	2
40 urte baino gehiago pasa badira ere'Alien, zortzigarren bidaiaria' filma ez da zahartzen.	Duela lau hamarkada baino gehiago egin zen 'Alien, zortzigarren bidaiaria' filma.	0
40 urte baino gehiago pasa badira ere'Alien, zortzigarren bidaiaria' filma ez da zahartzen.	Alien, zortzigarren bidaiaria' filmak ez zuen bereziki kritika onik jaso hasieran.	1
40 urte baino gehiago pasa badira ere'Alien, zortzigarren bidaiaria' filma ez da zahartzen.	Alien, zortzigarren bidaiaria' filma laster estreinatuko da.	2
Gure lana askotan oso zaila, oso gogorra eta oso beltza izan daiteke, eta beharra dugu tarteka umorera jotzeko.	Gogorra izaten da gure lana behin baino gehiagotan.	0
Gure lana askotan oso zaila, oso gogorra eta oso beltza izan daiteke, eta beharra dugu tarteka umorera jotzeko.	Lankideen artean harreman ona dugu, nahiz eta batzuetan desadostasun batzuk ere izaten ditugun.	1
Gure lana askotan oso zaila, oso gogorra eta oso beltza izan daiteke, eta beharra dugu tarteka umorera jotzeko.	Lanean oso serio egon behar izaten dugu beti.	2
Jakina da osasun sistema publiko batera hurbiltzen den edonork aurkituko duela akatsa eta haserretzeko bidea zerbaitekin.	Osasun sistema publikoan akatsak egoten dira.	0
Jakina da osasun sistema publiko batera hurbiltzen den edonork aurkituko duela akatsa eta haserretzeko bidea zerbaitekin.	Osasun sistema publikoko medikuak haserre daude hartu diren neurriekin.	1
Jakina da osasun sistema publiko batera hurbiltzen den edonork aurkituko duela akatsa eta haserretzeko bidea zerbaitekin.	Hemengo osasun sistema publikoa perfektua dela esan daiteke.	2
Hortaz, gazte jendearentzat auzo elkartea ez da erakargarria.	Auzo elkartera hurbiltzen den jende gehiena heldua da.	0
Hortaz, gazte jendearentzat auzo elkartea ez da erakargarria.	Auzo elkarteak hogei urte bete zituen iaz.	1
Hortaz, gazte jendearentzat auzo elkartea ez da erakargarria.	Gazte asko dabil auzo elkartean azken aldian.	2
Foru Aldundiak sortu zuen saria, Antton Abbadie saria, ondo merezitako laudorioa izan da.	Merezi zuen Antton Abbadie saria jasotzea.	0
Foru Aldundiak sortu zuen saria, Antton Abbadie saria, ondo merezitako laudorioa izan da.	Antton Abbadie sariaz gain beste batzuk ere jaso ditu.	1
Foru Aldundiak sortu zuen saria, Antton Abbadie saria, ondo merezitako laudorioa izan da.	Foru Aldundiari Antton Abbadie saria eman zioten.	2
Liburu honetan, haien adierazpenak eta hizkeraren xehetasunak jaso dira.	Haiek adierazitakoak liburuan jasota geratu dira.	0
Liburu honetan, haien adierazpenak eta hizkeraren xehetasunak jaso dira.	Liburua idatzi duena pertsona ezaguna da.	1
Liburu honetan, haien adierazpenak eta hizkeraren xehetasunak jaso dira.	Liburuan ezer gutxi dago hizkerari buruz.	2
Bertan ateratako argazkiekin etorkizuneko eraikuntza konparatzea interesgarria izango da.	Argazkiak atera dira bertan.	0
Bertan ateratako argazkiekin etorkizuneko eraikuntza konparatzea interesgarria izango da.	Etorkizuneko eraikuntza hobea izango da.	1
Bertan ateratako argazkiekin etorkizuneko eraikuntza konparatzea interesgarria izango da.	Aspergarria da eraikuntzak konparatzen aritzea.	2
Pilotalekuak 65 eserleku ditu mugikortasun urriko pertsonentzat, eta Trinketak 16.	Pilotalekuak eserleku gehiago ditu mugikortasun urriko pertsonentzat Trinketak baino.	0
Pilotalekuak 65 eserleku ditu mugikortasun urriko pertsonentzat, eta Trinketak 16.	Jende gehiago joan ohi da Pilotalekura partiduak ikustera Trinketara baino.	1
Pilotalekuak 65 eserleku ditu mugikortasun urriko pertsonentzat, eta Trinketak 16.	Trinketak Pilotalekuak adina eserleku baditu gutxienez mugikortasun urriko pertsonentzat.	2
Donostiako Akuariumean bisita gidatua egin berri dut urrian.	Urrian Donostian egon nintzen.	0
Donostiako Akuariumean bisita gidatua egin berri dut urrian.	Akuariumean hiru aldiz egon naiz guztira.	1
Donostiako Akuariumean bisita gidatua egin berri dut urrian.	Udazken osoan Akuariumera joan gabe egon naiz.	2
Aldaketa betean murgilduta gaude ordea eta tartean hizkuntza irizpideen berrikuspenean ere badihardugu.	Besteak beste, hizkuntza irizpideak berrikusten ari gara.	0
Aldaketa betean murgilduta gaude ordea eta tartean hizkuntza irizpideen berrikuspenean ere badihardugu.	Aldaketaren helburu nagusia hizkuntza gehiago ikasteko aukera erraztea da.	1
Aldaketa betean murgilduta gaude ordea eta tartean hizkuntza irizpideen berrikuspenean ere badihardugu.	Aldaketa batzuk egiteko asmoa genuela zirudien, baina azkenean berdin jarraitzea erabaki dugu.	2
Iluntasunean sortu dira gure burmuinak gobernatzen dituzten kondaira interesgarrienak.	Gure burmuineko kondaira interesgarrienak iluntasunean sortuak dira.	0
Iluntasunean sortu dira gure burmuinak gobernatzen dituzten kondaira interesgarrienak.	Ezin dugu jakin nondik datozen kondaira interesgarri guztiak.	1
Iluntasunean sortu dira gure burmuinak gobernatzen dituzten kondaira interesgarrienak.	Gure burmuineko kondaira interesgarri guztiak argitan sortzen dira.	2
Lehen egunean hiru talderekin topatu ginen; bakarra zen euskaraz.	Lehen egunean topo egindako taldeen herena euskaraz zen.	0
Lehen egunean hiru talderekin topatu ginen; bakarra zen euskaraz.	Lehen eguneko taldeak oso heterogeneoak ziren, adin eta kultura ezberdinetako jendea zegoen.	1
Lehen egunean hiru talderekin topatu ginen; bakarra zen euskaraz.	Lehen egunean topatutako talde gehienak euskaraz ziren.	2
Donostian gaztelaniazko ikastarotan haur asko dabil.	Donostian gurasoek ume asko gaztelaniazko ikastaroetara eramaten dituzte.	0
Donostian gaztelaniazko ikastarotan haur asko dabil.	Donostian haur ikastaroak arratsaldeetan dira.	1
Donostian gaztelaniazko ikastarotan haur asko dabil.	Donostian gaztelaniazko ikastaroak hutsik daude.	2
Bidaia-txartela berreskuratzeko, egoitza elektronikoko zure espedientera sartu behar duzu.	Egoitza elektronikoan zure espedientera sartuz berreskuratu dezakezu bidaia-txartela.	0
Bidaia-txartela berreskuratzeko, egoitza elektronikoko zure espedientera sartu behar duzu.	Egoitza elektronikoko zure espedientera sartu eta astebeteko tartean berreskuratuko duzu bidaia-txartela.	1
Bidaia-txartela berreskuratzeko, egoitza elektronikoko zure espedientera sartu behar duzu.	Bidaia-txartela berreskuratzeko telefonoz deitzearekin nahikoa da.	2
Oreka eta botekin trebezia irabazteko ondo etorri zaio ikastaroa egitea.	Ikastaroari esker oreka hobetu eta botekin trebezia irabazi du.	0
Oreka eta botekin trebezia irabazteko ondo etorri zaio ikastaroa egitea.	Ikastaroari esker elastikotasuna asko hobetu du.	1
Oreka eta botekin trebezia irabazteko ondo etorri zaio ikastaroa egitea.	Ikastaroa egiteak ez dio ezertarako balio izan.	2
60 urteren atarian biok, hasiak gara orain arte ikusezinak zitzaizkigun kontuei erreparatzen, osasunari, gero eta sarriago hiltzen diren lagunei.	61 urte baino gutxiago dauzkagu biok.	0
60 urteren atarian biok, hasiak gara orain arte ikusezinak zitzaizkigun kontuei erreparatzen, osasunari, gero eta sarriago hiltzen diren lagunei.	60 urteren atarian hobe da iraganari ez erreparatzea.	1
60 urteren atarian biok, hasiak gara orain arte ikusezinak zitzaizkigun kontuei erreparatzen, osasunari, gero eta sarriago hiltzen diren lagunei.	Adinean gora egiteak ez du osasunaren eta heriotzaren inguruko gure ikuspegia aldatu.	2
Zozketa egin eta berehala, eskainitako plazak adjudikatzen dira.	Plazak zozketa bidez esleitzen dira.	0
Zozketa egin eta berehala, eskainitako plazak adjudikatzen dira.	Plazak adjudikatzeko zozketa informatikoki egiten da.	1
Zozketa egin eta berehala, eskainitako plazak adjudikatzen dira.	Plazak zozketa egin eta bi astetara adjudikatzen dira.	2
Larunbateko ekitaldia leuna eta polita izan zen.	Larunbatekoa ekitaldi atsegina izan zen.	0
Larunbateko ekitaldia leuna eta polita izan zen.	Larunbateko ekitaldia etxetik ikusi nuen.	1
Larunbateko ekitaldia leuna eta polita izan zen.	Larunbateko ekitaldia ez zen nire gustukoa izan, gogortasuna falta zitzaion.	2
Maitasun erromantikoa sistema patriarkalaren biziraupena bermatzeko dispositiboa da.	Sistema patriarkalak bizirik iraun dezan erabiltzen da maitasun erromantikoa.	0
Maitasun erromantikoa sistema patriarkalaren biziraupena bermatzeko dispositiboa da.	Sistema patriarkalak biziraun dezan hainbat dispositibo daude.	1
Maitasun erromantikoa sistema patriarkalaren biziraupena bermatzeko dispositiboa da.	Sistema patriarkala maitasun erromantikoaren biziraupena bermatzeko dispositiboa da.	2
46 urte zituen eta bat-bateko heriotzak eraman zuen gure albotik.	46 urterekin hil zen bat-batean.	0
46 urte zituen eta bat-bateko heriotzak eraman zuen gure albotik.	Bizitza zoriontsua izan zuen.	1
46 urte zituen eta bat-bateko heriotzak eraman zuen gure albotik.	Gaixotasun luze batek hil zuen.	2
Iaz 15 film bikoiztu zituen euskarara Zinema Euskaraz programak, eta 2017a ere martxa onean hasi du.	Zinema Euskaraz programak filmak euskarara bikoizten ditu.	0
Iaz 15 film bikoiztu zituen euskarara Zinema Euskaraz programak, eta 2017a ere martxa onean hasi du.	Zinema Euskaraz programak eginiko bikoizketa guztiak gaztelaniatik euskarara izan dira.	1
Iaz 15 film bikoiztu zituen euskarara Zinema Euskaraz programak, eta 2017a ere martxa onean hasi du.	Badirudi Zinema Euskaraz programak oso film gutxi bikoiztuko dituela 2017an ere.	2
Aurreko astean Bilboko Okupazio Bulegoak lau urte bete zituen.	Bilboko Okupazio Bulegoak laugarren urteurrena ospatu zuen.	0
Aurreko astean Bilboko Okupazio Bulegoak lau urte bete zituen.	Bilboko Okupazio Bulegoak langile berriak kontratatuko ditu datorren hilabetean.	1
Aurreko astean Bilboko Okupazio Bulegoak lau urte bete zituen.	Bi urte igaro dira Bilboko Okupazio Bulegoak itxi zuenetik.	2
Getarian kultur eskaintza laukoiztu egin da ni bertan bizi nintzenetik.	Getarian gero eta kultur eskaintza gehiago dago.	0
Getarian kultur eskaintza laukoiztu egin da ni bertan bizi nintzenetik.	Getariako kultur eskaintzaren laurdena antzerkia da.	1
Getarian kultur eskaintza laukoiztu egin da ni bertan bizi nintzenetik.	Lehen Getarian, bertan bizi ez nintzenean, kultur eskaintza handiagoa zegoen.	2
Paperean aurkezteaz gain, formatu digitalean ere aurkeztuko dira, posible bada.	Paperean eta formatu digitalean aurkeztuko dira.	0
Paperean aurkezteaz gain, formatu digitalean ere aurkeztuko dira, posible bada.	Paperean hurrengo astean aurkeztuko dira.	1
Paperean aurkezteaz gain, formatu digitalean ere aurkeztuko dira, posible bada.	Formatu digitalean bakarrik aurkeztuko dira.	2
Diseinatzaile eta liburu ilustratzaile oparo eta puntakoa izan arren, komikigintzari egindako ekarpena ez da txikiago izan.	Komikigintzari ere ekarpen handia egin dio.	0
Diseinatzaile eta liburu ilustratzaile oparo eta puntakoa izan arren, komikigintzari egindako ekarpena ez da txikiago izan.	Argitaratu berri duen komiki bildumak arrakasta handia izan du adin txikikoen artean.	1
Diseinatzaile eta liburu ilustratzaile oparo eta puntakoa izan arren, komikigintzari egindako ekarpena ez da txikiago izan.	Komikilaria da eta batzuetan ilustrazioak egiten ditu.	2
Artxandako Funikularra, S.A. oso-osorik Bilboko Udalarena den merkataritza-sozietatea da.	Bilboko Udala Artxandako Funikularraren jabea da.	0
Artxandako Funikularra, S.A. oso-osorik Bilboko Udalarena den merkataritza-sozietatea da.	Bilboko Udalaren ustiakuntzako aurrekontuak merkataritza-sozietateak egiten dituen jarduera guztietatik eratorritakoak biltzen ditu.	1
Artxandako Funikularra, S.A. oso-osorik Bilboko Udalarena den merkataritza-sozietatea da.	Bilboko Udalak parte hartzeren bat du Artxandako Funikularrean.	2
Gipuzkoako kostaldean balea asko ibili zen garai batean, baina 4 bale ezagun aipatzen ditu Xabier Alberdi historialariak Euskadi Irratian egindako elkarrizketan.	Xabier Alberdi historialaria da eta ondo ezagutzen ditu inguruko itsasoetako baleak.	0
Gipuzkoako kostaldean balea asko ibili zen garai batean, baina 4 bale ezagun aipatzen ditu Xabier Alberdi historialariak Euskadi Irratian egindako elkarrizketan.	Gipuzkoako kostaldean bizi ziren gainerako baleak beste kostalde batzuetan ere bizi zirela aipatu du Xabier Alberdik.	1
Gipuzkoako kostaldean balea asko ibili zen garai batean, baina 4 bale ezagun aipatzen ditu Xabier Alberdi historialariak Euskadi Irratian egindako elkarrizketan.	Xabier Alberdik, Euskadi Irratiko elkarrizketan, Gipuzkoako kostaldean sekula ez dela balearik ibili aipatzen du.	2
Ulia mendian izan gara aspaldiko partez.	Orain dela asko ez ginela Ulia mendira joaten.	0
Ulia mendian izan gara aspaldiko partez.	Ulia mendia oso polita iruditu zaigu.	1
Ulia mendian izan gara aspaldiko partez.	Urteak dira ez garela mendian egon.	2
Zerbitzu-enpresentzako eraikin nagusiak 19 modulu ditu.	Zerbitzu-enpresentzako eraikin nagusia 19 moduluk osatzen dute.	0
Zerbitzu-enpresentzako eraikin nagusiak 19 modulu ditu.	Zerbitzu-enpresentzako eraikin nagusiak 19 modulu eta hiru pisu ditu.	1
Zerbitzu-enpresentzako eraikin nagusiak 19 modulu ditu.	Zerbitzu-enpresentzako eraikin nagusiak moduluak izan ditzake, baina ez da nahitaezkoa.	2
Europar Batasunak Uspace izeneko ordenantza bat ari da martxan jartzen, automatizatutako dronentzak aire eremu baimenduak sortzeko.	Uspace ordenantzak automatizatutako dronentzat aire eremu baimenduak sortuko ditu.	0
Europar Batasunak Uspace izeneko ordenantza bat ari da martxan jartzen, automatizatutako dronentzak aire eremu baimenduak sortzeko.	Uspace ordenantza 2030ean jarriko da martxan.	1
Europar Batasunak Uspace izeneko ordenantza bat ari da martxan jartzen, automatizatutako dronentzak aire eremu baimenduak sortzeko.	Europar Batasunean aireko dron automatizatuak debekatuko dituen ordenantza bat sartuko da indarrean laster.	2
Dublingo lur-hartzea oso-oso deserosoa izan da, asko mugitu da hegazkina, alde batetik bestera.	Dublingo lur-hartzea oso-oso deserosoa izan da, asko mugitu da hegazkina, alde batetik bestera.	0
Dublingo lur-hartzea oso-oso deserosoa izan da, asko mugitu da hegazkina, alde batetik bestera.	Dublingo luhartzean bidaiariak beldurrez garrasika hasi dira.	1
Dublingo lurhartzea oso-oso deserosoa izan da, asko mugitu da hegazkina, alde batetik bestera.	Dublingo lur-hartzeak beti izaten dira oso lasaiak, turbulentziarik gabeak.	2
Jakina da Joxan Goikoetxeak harreman estua izan zuela Xabier Leterekin, bereziki bere bizitzako azken urteetan.	Xabier Letek eta Joxan Goikoetxeak harreman handia izan zuten.	0
Jakina da Joxan Goikoetxeak harreman estua izan zuela Xabier Leterekin, bereziki bere bizitzako azken urteetan.	Xabier Lete eta Joxan Goikoetxea adinkideak dira.	1
Jakina da Joxan Goikoetxeak harreman estua izan zuela Xabier Leterekin, bereziki bere bizitzako azken urteetan.	Xabier Letek eta Joxan Goikoetxeak gaztetan izan zuten harreman handiena.	2
Garai Zekenak antzezlana aurkeztu du Arriaga Bilboko antzokiak, Henrik Ibsen norvegiar dramaturgoaren klasiko handietako batean oinarrituta.	Garai Zekenak antzezlana Henrik Ibsen norvegiar dramaturgoaren klasiko handietako batean oinarritzen da.	0
Garai Zekenak antzezlana aurkeztu du Arriaga Bilboko antzokiak, Henrik Ibsen norvegiar dramaturgoaren klasiko handietako batean oinarrituta.	Arriaga Bilboko antzokiak aurkeztutako Garai Zekenak antzezlana ikusgarria da.	1
Garai Zekenak antzezlana aurkeztu du Arriaga Bilboko antzokiak, Henrik Ibsen norvegiar dramaturgoaren klasiko handietako batean oinarrituta.	Arriaga Bilboko antzokiak aurkeztuko duen Garai Zekenak antzezlana Henrik Ibsen norvegiar dramaturgoaren klasiko handietako batean oinarritzen da.	2
Larunbatean, urriaren 31n, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Beldurrezko Zinemaldiko pelikula bat ikustera gonbidatu gintuzten.	0
Larunbatean, urriaren 31n, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Larunbatean Beldurrezko Zinemaldiko bi pelikula ikusi genituen.	1
Larunbatean, urriaren 31n, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Beldurrezko Zinemaldiko pelikula bat ikustera gonbidatu genuen.	2
"Zarautzen sortu berri den jaialdia da Adarretatik, udako musika festibaletan tokitxo bat egin guran datorrena, eta ""bazterreko musikak erdigunera"" ekartzea helburu duena."	Bazterreko musika ikustarazten duen udako musika jaialdi berria sortu dute Zarautzen: Adarretatik. 	0
"Zarautzen sortu berri den jaialdia da Adarretatik, udako musika festibaletan tokitxo bat egin guran datorrena, eta ""bazterreko musikak erdigunera"" ekartzea helburu duena."	Adarretatik jaialdiak jendetza bildu zuen Zarauzko kaleetan.	1
"Zarautzen sortu berri den jaialdia da Adarretatik, udako musika festibaletan tokitxo bat egin guran datorrena, eta ""bazterreko musikak erdigunera"" ekartzea helburu duena."	"Zarauzko Adarretatik udako musika jaialdiak urteak daramatza ""bazterreko musikak erdigunera"" ekartzeko lana egiten."	2
Europako elkarteek gogor salatu dute Goioagaren aurkako auzia.	Europako elkarteak ez daude ados Goioagaren aurkako auziarekin.	0
Europako elkarteek gogor salatu dute Goioagaren aurkako auzia.	Goioagaren aurkako auziak salaketa ugari izan ditu.	1
Europako elkarteek gogor salatu dute Goioagaren aurkako auzia.	Goioagaren aurkako auziak gogor salatu ditu Europako elkarteak.	2
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Solte taldearen azken diskoa 'IXA' da.	0
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Solte musika taldeak erritmo biziak erabiltzen ditu, horren adierazle da 'Eraldatutako mundua' kanta.	1
Solte taldeak 'IXA' azken diskoaren (Taupaka elkartea, 2016) Eraldatutako mundua abestiarekin bideoklip berritzailea prestatu du.	Solte muska taldearen lehen diskoa da 'IXA'.	2
Langile askok ez dakite zer dagoen ondo eta zer txarto, ez dakite nola jokatu.	Ongia eta gaizkiaren artean bereiztea ez da erraza langile askorentzat.	0
Langile askok ez dakite zer dagoen ondo eta zer txarto, ez dakite nola jokatu.	Langileei asko eragiten die nola jokatu ez jakiteak.	1
