ann_id	change_type	prem_id	premise	hypothesis_id	hypothesis	label
s1	dialectal	prem2	Enrike Eizagirre is performing the exciting Arratia dance with Ane Sarasketa.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s3	dialectal	prem3	The Sorgintzulo youth center was squatted in 1998 in some empty premises of the Carmelo church.	prem3_hyp0	The owner of Sorgintxulo youth center was the Karmelo church.	0
s3	dialectal	prem3	The Sorgintzulo youth center was squatted in 1998 in some empty premises of the Carmelo church.	prem3_hyp1	Several concerts are held at the Sorgintxulo youth center.	1
s3	dialectal	prem3	The Sorgintzulo youth center was squatted in 1998 in some empty premises of the Carmelo church.	prem3_hyp2	The city council gave the Sorgintxulo youth center to a group of young people.	2
s3	dialectal	prem4	The nine-song disc mixes hardcore rock and metal.	prem4_hyp0	The disc has fewer than ten songs in total.	0
s3	dialectal	prem4	The nine-song disc mixes hardcore rock and metal.	prem4_hyp1	Each song is about three minutes long, but there is also one that is six minutes long.	1
s3	dialectal	prem4	The nine-song disc mixes hardcore rock and metal.	prem4_hyp2	Calm melodies dominate the album.	2
g3	berridazketa	prem5	"The movie ""Ballerina"" will start showing in theaters in Basque the day after tomorrow."	prem5_hyp0	"The film ""Ballerina"" will be available to watch in Basque."	0
g3	berridazketa	prem5	"The movie ""Ballerina"" will start showing in theaters in Basque the day after tomorrow."	prem5_hyp1	"""Ballerina"" is an animated film made in France."	1
g3	berridazketa	prem5	"The movie ""Ballerina"" will start showing in theaters in Basque the day after tomorrow."	prem5_hyp2	"""Ballerina"" cannot be seen in theaters for another month."	2
g4	dialectal	prem6	Today is the release of the new work by the Solte group from Santutxu.	prem6_hyp0	The Solte group from Santutxu has created a new work.	0
g4	dialectal	prem6	Today is the release of the new work by the Solte group from Santutxu.	prem6_hyp1	The album has arrived after being idle for five years.	1
g4	dialectal	prem6	Today is the release of the new work by the Solte group from Santutxu.	prem6_hyp2	The band Solte disappeared three years ago.	2
g5	dialectal	prem7	Although Txirrita was a person who didn't know how to read, he had an extraordinary intuition for interpreting the information he gathered.	prem7_hyp0	Txirrita never read a single book in his entire life.	0
g5	dialectal	prem7	Although Txirrita was a person who didn't know how to read, he had an extraordinary intuition for interpreting the information he gathered.	prem7_hyp1	The bertsolari Basarri, on the other hand, greatly enjoyed reading novels.	1
g5	dialectal	prem7	Although Txirrita was a person who didn't know how to read, he had an extraordinary intuition for interpreting the information he gathered.	prem7_hyp2	While drinking coffee, Txirrita would read the newspaper every morning.	2
g8	dialectal	prem8	The assignments will be only two pages long, in A4 format (vertical).	prem8_hyp0	A4 format must be used for the assignments.	0
g8	dialectal	prem8	The assignments will be only two pages long, in A4 format (vertical).	prem8_hyp1	Arial size 12 must be used for writing.	1
g8	dialectal	prem8	The assignments will be only two pages long, in A4 format (vertical).	prem8_hyp2	Four-page works will also be accepted.	2
g1	dialectal	prem8	The work will only be two pages long in A4 format, in vertical orientation.	prem8_hyp0	A4 format must be used for the assignments.	0
g1	dialectal	prem8	The work will only be two pages long in A4 format, in vertical orientation.	prem8_hyp1	Arial size 12 must be used for writing.	1
g1	dialectal	prem8	The work will only be two pages long in A4 format, in vertical orientation.	prem8_hyp2	Four-page works will also be accepted.	2
g7	dialectal	prem9	Anton's way of life was extremely strange and even stranger was the place where he lived.	prem9_hyp0	The place where Antton lived was strange.	0
g7	dialectal	prem9	Anton's way of life was extremely strange and even stranger was the place where he lived.	prem9_hyp1	Antton had two daughters at a very young age.	1
g7	dialectal	prem9	Anton's way of life was extremely strange and even stranger was the place where he lived.	prem9_hyp2	Antton had a peaceful life, without any great adventures.	2
s4	dialectal	prem10	The Santurtzi Business Center is located in the El Árbol industrial area of Santurtzi, near the A-8 motorway.	prem10_hyp0	The Santurtzi Business Center is not far from the A-8 motorway.	0
s4	dialectal	prem10	The Santurtzi Business Center is located in the El Árbol industrial area of Santurtzi, near the A-8 motorway.	prem10_hyp1	There are 27 companies in total in the El Árbol industrial park.	1
s4	dialectal	prem10	The Santurtzi Business Center is located in the El Árbol industrial area of Santurtzi, near the A-8 motorway.	prem10_hyp2	Despite what its name suggests, Santurtzi Business Center is located in Portugalete.	2
g6	dialectal	prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp0	"The animated film ""Ballerina"" was made in Europe."	0
g6	dialectal	prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp1	The protagonist of the film is a girl.	1
g6	dialectal	prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp2	"Although it was made in the United States, the story of ""Ballerina"" is set in Europe."	2
s1	dialectal	prem12	It's true that, by the way, when you read the book, you understand some passages better, most likely.	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s1	dialectal	prem12	It's true that, by the way, when you read the book, you understand some passages better, most likely.	prem12_hyp1	They have modified some passages in the book that were scary.	1
s1	dialectal	prem12	It's true that, by the way, when you read the book, you understand some passages better, most likely.	prem12_hyp2	Not having read the book has no effect at all.	2
s2	dialectal	prem12	It's true that, by the way, having read the book, you understand many passages better, surely.	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s2	dialectal	prem12	It's true that, by the way, having read the book, you understand many passages better, surely.	prem12_hyp1	They have modified some passages in the book that were scary.	1
s2	dialectal	prem12	It's true that, by the way, having read the book, you understand many passages better, surely.	prem12_hyp2	Not having read the book has no effect at all.	2
s2	toka	prem12	It's true that, by the way, having read the book, you would probably understand many passages better.	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s2	toka	prem12	It's true that, by the way, having read the book, you would probably understand many passages better.	prem12_hyp1	They have modified some passages in the book that were scary.	1
s2	toka	prem12	It's true that, by the way, having read the book, you would probably understand many passages better.	prem12_hyp2	Not having read the book has no effect at all.	2
s2	noka	prem12	It's true that, by the way, having read the book, you understand many passages better, for sure.	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s2	noka	prem12	It's true that, by the way, having read the book, you understand many passages better, for sure.	prem12_hyp1	They have modified some passages in the book that were scary.	1
s2	noka	prem12	It's true that, by the way, having read the book, you understand many passages better, for sure.	prem12_hyp2	Not having read the book has no effect at all.	2
s3	dialectal	prem12	Indeed, by the way, having read books helps to better understand many passages, most likely.	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s3	dialectal	prem12	Indeed, by the way, having read books helps to better understand many passages, most likely.	prem12_hyp1	They have modified some passages in the book that were scary.	1
s3	dialectal	prem12	Indeed, by the way, having read books helps to better understand many passages, most likely.	prem12_hyp2	Not having read the book has no effect at all.	2
s4	dialectal	prem12	It is true that after reading the book, many passages are better understood, for sure	prem12_hyp0	Some passages are harder to understand without reading the book.	0
s4	dialectal	prem12	It is true that after reading the book, many passages are better understood, for sure	prem12_hyp1	They have modified some passages in the book that were scary.	1
s4	dialectal	prem12	It is true that after reading the book, many passages are better understood, for sure	prem12_hyp2	Not having read the book has no effect at all.	2
s4	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia sat down next to her and, in front of her husband, began touching Miren.	prem13_hyp0	While Miren was by the house window, Lucia started touching her.	0
s4	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia sat down next to her and, in front of her husband, began touching Miren.	prem13_hyp1	Miren's husband was watching television when Lucia arrived.	1
s4	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia sat down next to her and, in front of her husband, began touching Miren.	prem13_hyp2	When Lucia arrived, she didn't dare approach Miren because her husband was present.	2
g8	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp0	While Miren was by the house window, Lucia started touching her.	0
g8	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp1	Miren's husband was watching television when Lucia arrived.	1
g8	dialectal	prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp2	When Lucia arrived, she didn't dare approach Miren because her husband was present.	2
g6	dialectal	prem14	"This autumn, they will begin their third year of the radio show ""Sukalde dema"" on Radio Euskadi."	prem14_hyp0	The cooking competition shows have been running on Radio Euskadi for more than a year.	0
g6	dialectal	prem14	"This autumn, they will begin their third year of the radio show ""Sukalde dema"" on Radio Euskadi."	prem14_hyp1	The presenters of the cooking competition show changed after the first year.	1
g6	dialectal	prem14	"This autumn, they will begin their third year of the radio show ""Sukalde dema"" on Radio Euskadi."	prem14_hyp2	"The ""Kitchen Challenge"" program only lasted one year on Radio Euskadi."	2
s1	dialectal	prem15	Moreover, they don't have accident reports in either Basque or in Basque-Spanish.	prem15_hyp0	They don't have accident reports in Basque.	0
s1	dialectal	prem15	Moreover, they don't have accident reports in either Basque or in Basque-Spanish.	prem15_hyp1	He/She had an accident in the red car two weeks ago.	1
s1	dialectal	prem15	Moreover, they don't have accident reports in either Basque or in Basque-Spanish.	prem15_hyp2	They told me they have an accident report that is written entirely in Basque.	2
g8	toka	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp0	More than half of married couples get divorced in Spain.	0
g8	toka	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp1	Fewer and fewer people are getting married in church in the Spanish state.	1
g8	toka	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp2	Less than half get divorced after getting married.	2
s4	dialectal	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp0	More than half of married couples get divorced in Spain.	0
s4	dialectal	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp1	Fewer and fewer people are getting married in church in the Spanish state.	1
s4	dialectal	prem16	In Spain, 60% of married couples get divorced.	prem16_hyp2	Less than half get divorced after getting married.	2
g6	dialectal	prem17	A nation that cannot be imagined cannot exist.	prem17_hyp0	All existing peoples can be imagined.	0
g6	dialectal	prem17	A nation that cannot be imagined cannot exist.	prem17_hyp1	There are some villages where all the houses are white.	1
g6	dialectal	prem17	A nation that cannot be imagined cannot exist.	prem17_hyp2	Yesterday we saw a town that is not imagined.	2
g4	dialectal	prem18	In recent days, we have learned about the prosecutor's requests against 48 people for their work in the area of Basque political prisoners, some of them facing more than 20 years	prem18_hyp0	The prosecution has requested sentences for several people.	0
g4	dialectal	prem18	In recent days, we have learned about the prosecutor's requests against 48 people for their work in the area of Basque political prisoners, some of them facing more than 20 years	prem18_hyp1	Most of those who work on the issue of political prisoners are from Gipuzkoa.	1
g4	dialectal	prem18	In recent days, we have learned about the prosecutor's requests against 48 people for their work in the area of Basque political prisoners, some of them facing more than 20 years	prem18_hyp2	The prosecutor's office has approved the work being done by those involved in the matter of political prisoners.	2
g1	dialectal	prem19	Until now, due to low Basque language levels, local students' overall grades in the university entrance exams were significantly lowered.	prem19_hyp0	The language level had an impact on the overall university entrance exam score.	0
g1	dialectal	prem19	Until now, due to low Basque language levels, local students' overall grades in the university entrance exams were significantly lowered.	prem19_hyp1	Last year, the university entrance exams had the lowest scores ever recorded.	1
g1	dialectal	prem19	Until now, due to low Basque language levels, local students' overall grades in the university entrance exams were significantly lowered.	prem19_hyp2	The Basque language level did not matter in the university entrance exam score.	2
g8	dialectal	prem19	Until now, due to poor Basque language skills, students there had their overall selectividad (university entrance exam) scores significantly lowered.	prem19_hyp0	The language level had an impact on the overall university entrance exam score.	0
g8	dialectal	prem19	Until now, due to poor Basque language skills, students there had their overall selectividad (university entrance exam) scores significantly lowered.	prem19_hyp1	Last year, the university entrance exams had the lowest scores ever recorded.	1
g8	dialectal	prem19	Until now, due to poor Basque language skills, students there had their overall selectividad (university entrance exam) scores significantly lowered.	prem19_hyp2	The Basque language level did not matter in the university entrance exam score.	2
g5	dialectal	prem20	The friend says that, despite having traveled all over the world, on the day he falls ill he will return to the Basque Country.	prem20_hyp0	My friend is traveling around the world.	0
g5	dialectal	prem20	The friend says that, despite having traveled all over the world, on the day he falls ill he will return to the Basque Country.	prem20_hyp1	The friend was not born in the Basque Country.	1
g5	dialectal	prem20	The friend says that, despite having traveled all over the world, on the day he falls ill he will return to the Basque Country.	prem20_hyp2	The friend says they intend to travel around the world forever.	2
g3	berridazketa	prem21	Even after 40 years, the movie 'Alien' is still widely watched	prem21_hyp0	The film 'Alien, the eighth passenger' was made more than four decades ago.	0
g3	berridazketa	prem21	Even after 40 years, the movie 'Alien' is still widely watched	prem21_hyp1	The film 'Alien, the eighth passenger' did not receive particularly good reviews initially.	1
g3	berridazketa	prem21	Even after 40 years, the movie 'Alien' is still widely watched	prem21_hyp2	The film 'Alien, the eighth passenger' will be released soon.	2
g2	dialectal	prem22	Our work can often be difficult, very hard and very dark, and from time to time we need to maintain our sense of humor	prem22_hyp0	Our work is often tough more than once.	0
g2	dialectal	prem22	Our work can often be difficult, very hard and very dark, and from time to time we need to maintain our sense of humor	prem22_hyp1	We have a good relationship among colleagues, although we sometimes have some disagreements.	1
g2	dialectal	prem22	Our work can often be difficult, very hard and very dark, and from time to time we need to maintain our sense of humor	prem22_hyp2	We always have to be very serious at work.	2
g5	dialectal	prem23	It is well known that when approaching a public health system, anyone will find flaws and reasons to get angry about something.	prem23_hyp0	There are flaws in the public health system.	0
g5	dialectal	prem23	It is well known that when approaching a public health system, anyone will find flaws and reasons to get angry about something.	prem23_hyp1	Doctors in the public health system are angry with the measures that have been taken.	1
g5	dialectal	prem23	It is well known that when approaching a public health system, anyone will find flaws and reasons to get angry about something.	prem23_hyp2	The public health system here can be said to be perfect.	2
s1	dialectal	prem24	From childhood, the neighborhood association has not been attractive for young people.	prem24_hyp0	Most of the people who come to the neighborhood association are adults.	0
s1	dialectal	prem24	From childhood, the neighborhood association has not been attractive for young people.	prem24_hyp1	The neighborhood association celebrated its twentieth anniversary last year.	1
s1	dialectal	prem24	From childhood, the neighborhood association has not been attractive for young people.	prem24_hyp2	Many young people have been participating in the neighborhood association lately.	2
s4	dialectal	prem25	The prize created by the Provincial Council, the Antton Abbadie prize, has been a well-deserved recognition.	prem25_hyp0	He/She deserved to receive the Antton Abbadie award.	0
s4	dialectal	prem25	The prize created by the Provincial Council, the Antton Abbadie prize, has been a well-deserved recognition.	prem25_hyp1	In addition to the Antton Abbadie award, they have received others as well.	1
s4	dialectal	prem25	The prize created by the Provincial Council, the Antton Abbadie prize, has been a well-deserved recognition.	prem25_hyp2	The Provincial Council was awarded the Antton Abbadie prize.	2
g6	dialectal	prem26	In this book, their expressions and details of their speech have been collected.	prem26_hyp0	What they expressed has been recorded in the book.	0
g6	dialectal	prem26	In this book, their expressions and details of their speech have been collected.	prem26_hyp1	The person who wrote the book is famous.	1
g6	dialectal	prem26	In this book, their expressions and details of their speech have been collected.	prem26_hyp2	There is very little in the book about language/speech.	2
s1	dialectal	prem27	It would be interesting to compare future construction with the photographs taken there.	prem27_hyp0	Pictures were taken there.	0
s1	dialectal	prem27	It would be interesting to compare future construction with the photographs taken there.	prem27_hyp1	The future construction will be better.	1
s1	dialectal	prem27	It would be interesting to compare future construction with the photographs taken there.	prem27_hyp2	It is boring to compare buildings.	2
g3	berridazketa	prem28	The Fronton has 65 seats for people with physical disabilities and the Trinquet has 16.	prem28_hyp0	The fronton has more seats for people with reduced mobility than the Trinquet.	0
g3	berridazketa	prem28	The Fronton has 65 seats for people with physical disabilities and the Trinquet has 16.	prem28_hyp1	More people usually go to the Pilotaleku to watch matches than to the Trinket.	1
g3	berridazketa	prem28	The Fronton has 65 seats for people with physical disabilities and the Trinquet has 16.	prem28_hyp2	The Trinketa has at least as many seats as the Pilotaleku for people with reduced mobility.	2
s2	toka	prem29	I recently took a guided tour of the San Sebastian Aquarium.	prem29_hyp0	I was in San Sebastian in October.	0
s2	toka	prem29	I recently took a guided tour of the San Sebastian Aquarium.	prem29_hyp1	I have been to the aquarium three times in total.	1
s2	toka	prem29	I recently took a guided tour of the San Sebastian Aquarium.	prem29_hyp2	I haven't been to the Aquarium all autumn.	2
s2	dialectal	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp0	I was in San Sebastian in October.	0
s2	dialectal	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp1	I have been to the aquarium three times in total.	1
s2	dialectal	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp2	I haven't been to the Aquarium all autumn.	2
s2	noka	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp0	I was in San Sebastian in October.	0
s2	noka	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp1	I have been to the aquarium three times in total.	1
s2	noka	prem29	I recently took a guided tour at the San Sebastian Aquarium.	prem29_hyp2	I haven't been to the Aquarium all autumn.	2
s2	dialectal	prem30	However, we are in the midst of a change and also reviewing language criteria in between.	prem30_hyp0	Among other things, we are reviewing the language criteria.	0
s2	dialectal	prem30	However, we are in the midst of a change and also reviewing language criteria in between.	prem30_hyp1	The main goal of the change is to facilitate the opportunity to learn more languages.	1
s2	dialectal	prem30	However, we are in the midst of a change and also reviewing language criteria in between.	prem30_hyp2	It seemed like we were going to make some changes, but in the end we decided to continue the same way.	2
s2	noka	prem30	We were involved in a change and in between the revision of language criteria as well.	prem30_hyp0	Among other things, we are reviewing the language criteria.	0
s2	noka	prem30	We were involved in a change and in between the revision of language criteria as well.	prem30_hyp1	The main goal of the change is to facilitate the opportunity to learn more languages.	1
s2	noka	prem30	We were involved in a change and in between the revision of language criteria as well.	prem30_hyp2	It seemed like we were going to make some changes, but in the end we decided to continue the same way.	2
s2	toka	prem30	We need to make a change, however, and also review the language criteria in between.	prem30_hyp0	Among other things, we are reviewing the language criteria.	0
s2	toka	prem30	We need to make a change, however, and also review the language criteria in between.	prem30_hyp1	The main goal of the change is to facilitate the opportunity to learn more languages.	1
s2	toka	prem30	We need to make a change, however, and also review the language criteria in between.	prem30_hyp2	It seemed like we were going to make some changes, but in the end we decided to continue the same way.	2
g1	dialectal	prem31	The most interesting stories that govern our brains were born in darkness.	prem31_hyp0	The most interesting stories in our brain are born in darkness.	0
g1	dialectal	prem31	The most interesting stories that govern our brains were born in darkness.	prem31_hyp1	We cannot know where all the interesting legends come from.	1
g1	dialectal	prem31	The most interesting stories that govern our brains were born in darkness.	prem31_hyp2	All our interesting stories in the brain are born in the light.	2
g8	toka	prem31	The most interesting legends that govern our minds were born in darkness.	prem31_hyp0	The most interesting stories in our brain are born in darkness.	0
g8	toka	prem31	The most interesting legends that govern our minds were born in darkness.	prem31_hyp1	We cannot know where all the interesting legends come from.	1
g8	toka	prem31	The most interesting legends that govern our minds were born in darkness.	prem31_hyp2	All our interesting stories in the brain are born in the light.	2
g6	dialectal	prem32	On the first day we met with three groups; only one was in Basque.	prem32_hyp0	One-third of the groups encountered on the first day were speaking in Basque.	0
g6	dialectal	prem32	On the first day we met with three groups; only one was in Basque.	prem32_hyp1	The groups on the first day were very heterogeneous, with people of different ages and cultures.	1
g6	dialectal	prem32	On the first day we met with three groups; only one was in Basque.	prem32_hyp2	Most of the groups encountered on the first day were speaking in Basque.	2
g7	dialectal	prem33	Many children attend Spanish language courses in San Sebastian.	prem33_hyp0	In San Sebastian, parents take many children to Spanish language courses.	0
g7	dialectal	prem33	Many children attend Spanish language courses in San Sebastian.	prem33_hyp1	Children's courses in San Sebastian are in the afternoons.	1
g7	dialectal	prem33	Many children attend Spanish language courses in San Sebastian.	prem33_hyp2	Spanish language courses in San Sebastian are empty.	2
g6	dialectal	prem34	To recover your ticket, you need to enter your file/reference number online.	prem34_hyp0	You can retrieve your travel ticket by accessing your file in the electronic portal.	0
g6	dialectal	prem34	To recover your ticket, you need to enter your file/reference number online.	prem34_hyp1	Access your file in the electronic office and you will retrieve your travel ticket within a week.	1
g6	dialectal	prem34	To recover your ticket, you need to enter your file/reference number online.	prem34_hyp2	It is sufficient to call by phone to recover the travel ticket.	2
g4	dialectal	prem35	Taking the course will help them gain skill with balance and jumps.	prem35_hyp0	Thanks to the course, they improved their balance and gained skill with jumps.	0
g4	dialectal	prem35	Taking the course will help them gain skill with balance and jumps.	prem35_hyp1	Thanks to the course, they have greatly improved their flexibility.	1
g4	dialectal	prem35	Taking the course will help them gain skill with balance and jumps.	prem35_hyp2	Taking the course hasn't been of any use to him/her.	2
s1	dialectal	prem36	As we're approaching 60 years old, we've started paying attention to many things we didn't notice before, to our health, and to friends who are dying more and more frequently.	prem36_hyp0	Between the two of us, we are less than 61 years old.	0
s1	dialectal	prem36	As we're approaching 60 years old, we've started paying attention to many things we didn't notice before, to our health, and to friends who are dying more and more frequently.	prem36_hyp1	At the threshold of 60 years, it's better not to dwell on the past.	1
s1	dialectal	prem36	As we're approaching 60 years old, we've started paying attention to many things we didn't notice before, to our health, and to friends who are dying more and more frequently.	prem36_hyp2	Growing older has not changed our perspective on health and death.	2
g3	berridazketa	prem37	As soon as the draw is made, the spots are allocated.	prem37_hyp0	Places are assigned by lottery.	0
g3	berridazketa	prem37	As soon as the draw is made, the spots are allocated.	prem37_hyp1	The allocation of places is done through a computerized lottery.	1
g3	berridazketa	prem37	As soon as the draw is made, the spots are allocated.	prem37_hyp2	The spots are awarded two weeks after the draw is held.	2
g5	dialectal	prem38	Saturday's event was smooth and beautiful.	prem38_hyp0	Saturday's event was pleasant.	0
g5	dialectal	prem38	Saturday's event was smooth and beautiful.	prem38_hyp1	I watched Saturday's event from home.	1
g5	dialectal	prem38	Saturday's event was smooth and beautiful.	prem38_hyp2	Saturday's event wasn't to my liking, it lacked intensity.	2
g6	dialectal	prem39	Romantic love is an invention created to maintain the patriarchal system.	prem39_hyp0	Romantic love is used to keep the patriarchal system alive.	0
g6	dialectal	prem39	Romantic love is an invention created to maintain the patriarchal system.	prem39_hyp1	There are several devices that allow the patriarchal system to survive.	1
g6	dialectal	prem39	Romantic love is an invention created to maintain the patriarchal system.	prem39_hyp2	The patriarchal system is a device for ensuring the survival of romantic love.	2
g4	dialectal	prem40	He/She was 46 years old and a sudden death took him/her away from us.	prem40_hyp0	He/She died suddenly at 46 years old.	0
g4	dialectal	prem40	He/She was 46 years old and a sudden death took him/her away from us.	prem40_hyp1	He/She had a happy life.	1
g4	dialectal	prem40	He/She was 46 years old and a sudden death took him/her away from us.	prem40_hyp2	A long illness killed him/her.	2
g7	dialectal	prem41	Last year, the Zinema Euskaraz program dubbed 15 films into Basque, and 2017 has started with good momentum.	prem41_hyp0	The Cinema in Basque program dubs films into Basque.	0
g7	dialectal	prem41	Last year, the Zinema Euskaraz program dubbed 15 films into Basque, and 2017 has started with good momentum.	prem41_hyp1	All the dubbing done by the Cinema in Basque program has been from Spanish to Basque.	1
g7	dialectal	prem41	Last year, the Zinema Euskaraz program dubbed 15 films into Basque, and 2017 has started with good momentum.	prem41_hyp2	It seems that the Cinema in Basque program will dub very few films in 2017 as well.	2
g5	dialectal	prem42	The previous Bilbao Occupation Office completed four years.	prem42_hyp0	The Bilbao Occupation Office celebrated its fourth anniversary.	0
g5	dialectal	prem42	The previous Bilbao Occupation Office completed four years.	prem42_hyp1	The Bilbao Employment Office will hire new workers next month.	1
g5	dialectal	prem42	The previous Bilbao Occupation Office completed four years.	prem42_hyp2	Two years have passed since the Bilbao Occupation Office closed.	2
s3	dialectal	prem43	When I lived there in Getaria, there were four times more cultural offerings than now.	prem43_hyp0	There is an increasing cultural offering in Getaria.	0
s3	dialectal	prem43	When I lived there in Getaria, there were four times more cultural offerings than now.	prem43_hyp1	A quarter of Getaria's cultural offerings is theater.	1
s3	dialectal	prem43	When I lived there in Getaria, there were four times more cultural offerings than now.	prem43_hyp2	Before, when I didn't live there, there was a greater cultural offering in Getaria.	2
g3	dialectal	prem44	They should be submitted in both paper and digital format, if possible.	prem44_hyp0	They will be presented in paper and digital format.	0
g3	dialectal	prem44	They should be submitted in both paper and digital format, if possible.	prem44_hyp1	They will be presented on paper next week.	1
g3	dialectal	prem44	They should be submitted in both paper and digital format, if possible.	prem44_hyp2	They will be presented in digital format only.	2
g8	toka	prem45	Despite being a prolific and outstanding designer and book illustrator, their contribution to comics has been no less significant.	prem45_hyp0	He/She has also made a great contribution to comic creation.	0
g8	toka	prem45	Despite being a prolific and outstanding designer and book illustrator, their contribution to comics has been no less significant.	prem45_hyp1	The recently published comic collection has been a great success among minors.	1
g8	toka	prem45	Despite being a prolific and outstanding designer and book illustrator, their contribution to comics has been no less significant.	prem45_hyp2	He/She is a comic artist and sometimes creates illustrations.	2
g7	dialectal	prem46	The Artxanda Funicular, S.A. is a commercial company wholly owned by the Bilbao City Council.	prem46_hyp0	The Bilbao City Council owns the Artxanda Funicular.	0
g7	dialectal	prem46	The Artxanda Funicular, S.A. is a commercial company wholly owned by the Bilbao City Council.	prem46_hyp1	The operating budget of Bilbao City Council includes those derived from all activities carried out by the commercial company.	1
