ann_id	change_type	probintzia	prem_id	premise	hypothesis	label
s3	dialectal	bizkaia	prem4	Beatzi kantakin einddako diskun hardcori rockaz eta metalaz nahastaten diz.	Abesti bakoitzaren iraupena hiru minutu ingurukoa da, baina sei minutuko bat ere badago.	1
s3	dialectal	bizkaia	prem4	Beatzi kantakin einddako diskun hardcori rockaz eta metalaz nahastaten diz.	Doinu lasaiak dira nagusi diskoan.	2
g3	berridazketa	gipuzkoa	prem5	"Etzi hasiko dira ematen ""Ballerina"" pelikula euskaraz zinemetan."	"Animaziozko filma da ""Ballerina"" eta Frantzian egina."	1
g3	berridazketa	gipuzkoa	prem5	"Etzi hasiko dira ematen ""Ballerina"" pelikula euskaraz zinemetan."	"Hilabete barru arte ezingo da ""Ballerina"" zineman ikusi."	2
g3	berridazketa	gipuzkoa	prem5	"Etzi hasiko dira ematen ""Ballerina"" pelikula euskaraz zinemetan."	Ballerina filma euskaraz ikusi ahal izango da.	0
g4	dialectal	nafarroa	prem6	Gaur atea da Solte talde santuxuarraren lan berrie.	Solte taldea duela hiru urte desagertu zen.	2
g4	dialectal	nafarroa	prem6	Gaur atea da Solte talde santuxuarraren lan berrie.	Santutxuko Solte taldeak lan berria egin du.	0
g4	dialectal	nafarroa	prem6	Gaur atea da Solte talde santuxuarraren lan berrie.	Azken bost urteetan geldirik egon ondoren etorri da diskoa.	1
g5	dialectal	gipuzkoa	prem7	Txirrita bertsolaia irakurtzen ez zekin pertsona zan arren, sekulako sena zakan bildutako informazioan gañeko iakurketak iteko. 	Txirritak ez zuen bere bizitza osoan liburu bat bera ere irakurri.	0
g5	dialectal	gipuzkoa	prem7	Txirrita bertsolaia irakurtzen ez zekin pertsona zan arren, sekulako sena zakan bildutako informazioan gañeko iakurketak iteko. 	Basarri bertsolariari, berriz, asko gustatzen zitzaion eleberriak irakurtzea.	1
g5	dialectal	gipuzkoa	prem7	Txirrita bertsolaia irakurtzen ez zekin pertsona zan arren, sekulako sena zakan bildutako informazioan gañeko iakurketak iteko. 	Kafea hartzen zuen bitartean, egunkaria irakurtzen zuen Txirritak goizero.	2
g1	dialectal	bizkaia	prem8	Lanek bi orrialde bakarrik izango dabez A4 formatoan, bertikalian.	Arial 12 tamaina erabili behar da derrigorrez idazteko.	1
g8	dialectal	gipuzkoa	prem8	Lanak bi orrialde baino ez dituzte izango, A4 formatuan (bertikalian).	Arial 12 tamaina erabili behar da derrigorrez idazteko.	1
g1	dialectal	bizkaia	prem8	Lanek bi orrialde bakarrik izango dabez A4 formatoan, bertikalian.	Lanak egiteko A4 formatua erabili beharko da.	0
g8	dialectal	gipuzkoa	prem8	Lanak bi orrialde baino ez dituzte izango, A4 formatuan (bertikalian).	Lanak egiteko A4 formatua erabili beharko da.	0
g1	dialectal	bizkaia	prem8	Lanek bi orrialde bakarrik izango dabez A4 formatoan, bertikalian.	Lau orrialdeko lanak ere onartuko dira.	2
g8	dialectal	gipuzkoa	prem8	Lanak bi orrialde baino ez dituzte izango, A4 formatuan (bertikalian).	Lau orrialdeko lanak ere onartuko dira.	2
g7	dialectal	gipuzkoa	prem9	Kriston arrarua zan Antton horren bizitzeko modua ta oaindik arrarogua bizi zan lekua.	Bizimodu lasaia izan zuen Anttonek, abentura handirik gabekoa.	2
g7	dialectal	gipuzkoa	prem9	Kriston arrarua zan Antton horren bizitzeko modua ta oaindik arrarogua bizi zan lekua.	Antton bizi izan zen lekua bitxia zen.	0
g7	dialectal	gipuzkoa	prem9	Kriston arrarua zan Antton horren bizitzeko modua ta oaindik arrarogua bizi zan lekua.	Anttonek bi alaba izan zituen oso gazterik.	1
s4	dialectal	gipuzkoa	prem10	Santurtzi Elkartegia Santurtziko El Árbol industrialdean dao, A-8 autobidearen ingurutan.	Santurtzi Elkartegia ez dago A-8 autobidetik urrun.	0
s4	dialectal	gipuzkoa	prem10	Santurtzi Elkartegia Santurtziko El Árbol industrialdean dao, A-8 autobidearen ingurutan.	El Árbol industrialdean 27 enpresa daude denera.	1
s4	dialectal	gipuzkoa	prem10	Santurtzi Elkartegia Santurtziko El Árbol industrialdean dao, A-8 autobidearen ingurutan.	Santurtzi Elkartegia Portugaleten dago, izenagatik ematen ez duen arren.	2
g6	dialectal	gipuzkoa	prem11	"Azken urteotan Europan in den animaziozko koprodukzio haundienetakoa da ""Ballerina""."	"Europan egina da ""Ballerina"" animaziozko filma."	0
g6	dialectal	gipuzkoa	prem11	"Azken urteotan Europan in den animaziozko koprodukzio haundienetakoa da ""Ballerina""."	Filmeko protagonista neska da.	1
g6	dialectal	gipuzkoa	prem11	"Azken urteotan Europan in den animaziozko koprodukzio haundienetakoa da ""Ballerina""."	"Ameriketako Estatu Batuetan egina izan arren, Europan kokatzen da ""Ballerina""-ko istorioa."	2
s3	dialectal	bizkaia	prem12	Egixera, bide batez, liburu irakurritxe eukitxe hobeto ulertzen dizela pasarte asko, seguruena.	Liburuan beldurrezkoak diren pasarte batzuk aldatu egin dituzte.	1
s2	noka	gipuzkoa	prem12	Egie den, de paso, liburue irakurrita eukita hobeto ulertzeittunala hainbat pasarte, seguruna.	Liburua irakurri gabe izateak ez du batere eraginik.	2
s1	dialectal	bizkaia	prem12	Egidxe da, de paso, liburue irakurritze okindxe pasarte batzuk hobeto ulertzen dizela, ziurrenik.	Liburua irakurri gabe izateak ez du batere eraginik.	2
s3	dialectal	bizkaia	prem12	Egixera, bide batez, liburu irakurritxe eukitxe hobeto ulertzen dizela pasarte asko, seguruena.	Pasarte batzuk zailagoak dira ulertzen liburua irakurri gabe.	0
s1	dialectal	bizkaia	prem12	Egidxe da, de paso, liburue irakurritze okindxe pasarte batzuk hobeto ulertzen dizela, ziurrenik.	Pasarte batzuk zailagoak dira ulertzen liburua irakurri gabe.	0
s2	noka	gipuzkoa	prem12	Egie den, de paso, liburue irakurrita eukita hobeto ulertzeittunala hainbat pasarte, seguruna.	Pasarte batzuk zailagoak dira ulertzen liburua irakurri gabe.	0
s2	toka	gipuzkoa	prem12	Egie dek, de paso, liburue irakurrita eukita hobeto ulertzeittukela hainbat pasarte, seguruna.	Pasarte batzuk zailagoak dira ulertzen liburua irakurri gabe.	0
s2	noka	gipuzkoa	prem12	Egie den, de paso, liburue irakurrita eukita hobeto ulertzeittunala hainbat pasarte, seguruna.	Liburuan beldurrezkoak diren pasarte batzuk aldatu egin dituzte.	1
s1	dialectal	bizkaia	prem12	Egidxe da, de paso, liburue irakurritze okindxe pasarte batzuk hobeto ulertzen dizela, ziurrenik.	Liburuan beldurrezkoak diren pasarte batzuk aldatu egin dituzte.	1
s2	toka	gipuzkoa	prem12	Egie dek, de paso, liburue irakurrita eukita hobeto ulertzeittukela hainbat pasarte, seguruna.	Liburuan beldurrezkoak diren pasarte batzuk aldatu egin dituzte.	1
s2	toka	gipuzkoa	prem12	Egie dek, de paso, liburue irakurrita eukita hobeto ulertzeittukela hainbat pasarte, seguruna.	Liburua irakurri gabe izateak ez du batere eraginik.	2
s3	dialectal	bizkaia	prem12	Egixera, bide batez, liburu irakurritxe eukitxe hobeto ulertzen dizela pasarte asko, seguruena.	Liburua irakurri gabe izateak ez du batere eraginik.	2
g8	dialectal	gipuzkoa	prem13	Miren etxeko leiho onduan zigarro bat erretzen ari zala, Lucia gerturatu zitzaion, eta, bere gizonaren aurrian, Miren ukitzen hasi zan.	Miren etxeko leihoaren alboan zegoela, Lucia bera ukitzen hasi zen.	0
s4	dialectal	gipuzkoa	prem13	Miren etxeko leio ondun ziarro bat erretzen ai zela, Lucia ondoan jarri zitzaion, ta, bere gizonan aurrin, Miren ikutzen hasi zen.	Miren etxeko leihoaren alboan zegoela, Lucia bera ukitzen hasi zen.	0
g8	dialectal	gipuzkoa	prem13	Miren etxeko leiho onduan zigarro bat erretzen ari zala, Lucia gerturatu zitzaion, eta, bere gizonaren aurrian, Miren ukitzen hasi zan.	Mirenen gizona telebista ikusten ari zen Lucia etorri zenean.	1
s4	dialectal	gipuzkoa	prem13	Miren etxeko leio ondun ziarro bat erretzen ai zela, Lucia ondoan jarri zitzaion, ta, bere gizonan aurrin, Miren ikutzen hasi zen.	Mirenen gizona telebista ikusten ari zen Lucia etorri zenean.	1
g8	dialectal	gipuzkoa	prem13	Miren etxeko leiho onduan zigarro bat erretzen ari zala, Lucia gerturatu zitzaion, eta, bere gizonaren aurrian, Miren ukitzen hasi zan.	Lucia iritsi zenean ez zen Mirenengana hurbiltzera ausartu, bere gizona aurrean baitzegoen.	2
s4	dialectal	gipuzkoa	prem13	Miren etxeko leio ondun ziarro bat erretzen ai zela, Lucia ondoan jarri zitzaion, ta, bere gizonan aurrin, Miren ikutzen hasi zen.	Lucia iritsi zenean ez zen Mirenengana hurbiltzera ausartu, bere gizona aurrean baitzegoen.	2
g6	dialectal	gipuzkoa	prem14	"Euskadi irratiko ""Sukalde dema"" irratsaioan hirugarren urtia hasiko dute udazken honetan."	Sukalde dema saioak urte bat baino gehiago darama euskadi irratian.	0
g6	dialectal	gipuzkoa	prem14	"Euskadi irratiko ""Sukalde dema"" irratsaioan hirugarren urtia hasiko dute udazken honetan."	Sukalde dema saioan aurkezleak aldatu ziren lehenengo urtea eta gero.	1
g6	dialectal	gipuzkoa	prem14	"Euskadi irratiko ""Sukalde dema"" irratsaioan hirugarren urtia hasiko dute udazken honetan."	"Urtebete bakarrik iraun zuen ""Sukalde dema"" saioak euskadi irratian."	2
s1	dialectal	bizkaia	prem15	Ganera istripu-partie eztakoie ez euskeraz ezta euskera-gaztelaniaz.	Euskarazko istripu-parterik ez daukate.	0
s1	dialectal	bizkaia	prem15	Ganera istripu-partie eztakoie ez euskeraz ezta euskera-gaztelaniaz.	Auto gorrian izan zuen istripua duela bi aste.	1
s1	dialectal	bizkaia	prem15	Ganera istripu-partie eztakoie ez euskeraz ezta euskera-gaztelaniaz.	Euskara hutsean dagoen istripu-parte bat dutela esan didate.	2
g8	toka	gipuzkoa	prem16	Espainian, ezkonduen %60 dibortziatzen dituk.	Ezkonduen erdia baino gehiago banatu egiten da Espainian.	0
s4	dialectal	gipuzkoa	prem16	Españan, ezkonduen %60a dibortziatzen da.	Ezkonduen erdia baino gehiago banatu egiten da Espainian.	0
g8	toka	gipuzkoa	prem16	Espainian, ezkonduen %60 dibortziatzen dituk.	Espainiar estatuan gero eta gutxiago dira elizatik ezkontzen direnak.	1
s4	dialectal	gipuzkoa	prem16	Españan, ezkonduen %60a dibortziatzen da.	Espainiar estatuan gero eta gutxiago dira elizatik ezkontzen direnak.	1
g8	toka	gipuzkoa	prem16	Espainian, ezkonduen %60 dibortziatzen dituk.	Erdia baino gutxiago dira ezkondu eta gero banatzen direnak.	2
s4	dialectal	gipuzkoa	prem16	Españan, ezkonduen %60a dibortziatzen da.	Erdia baino gutxiago dira ezkondu eta gero banatzen direnak.	2
g6	dialectal	gipuzkoa	prem17	Imajinatzen ez dan herri bat ezin da existitu.	Existitzen diren herri guztiak irudikatu daitezke.	0
g6	dialectal	gipuzkoa	prem17	Imajinatzen ez dan herri bat ezin da existitu.	Badaude herri batzuk etxe guztiak zuriak dituztenak.	1
g6	dialectal	gipuzkoa	prem17	Imajinatzen ez dan herri bat ezin da existitu.	Irudikatzen ez den herri bat ikusi genuen atzo.	2
g4	dialectal	nafarroa	prem18	Euskal preso politikoen arloan lan egin izanagatik 48 pertsonen kontra egindako eskaera fiskalen berri izan deu azken egunotan, hoietako batzuk 20 ure baño gehigokok	Fiskaltzak zenbait pertsonarentzat zigorrak eskatu ditu.	0
g4	dialectal	nafarroa	prem18	Euskal preso politikoen arloan lan egin izanagatik 48 pertsonen kontra egindako eskaera fiskalen berri izan deu azken egunotan, hoietako batzuk 20 ure baño gehigokok	Preso politikoen gaian lan egiten duten gehienak Gipuzkoarrak dira.	1
g4	dialectal	nafarroa	prem18	Euskal preso politikoen arloan lan egin izanagatik 48 pertsonen kontra egindako eskaera fiskalen berri izan deu azken egunotan, hoietako batzuk 20 ure baño gehigokok	Fiskaltzak ontzat eman du preso politikoen gaian ari direnek egiten duten lana.	2
g1	dialectal	bizkaia	prem19	Oin arte euskera maila bajuengaitik, selektibidadean nota orokorra asko jasten jaken bertako ikasleei.	Hizkuntza mailak eragina zuen selektibitateko nota orokorrean.	0
g8	dialectal	gipuzkoa	prem19	Orain arte euskera maila eskasagatik, selektibitatian nota orokorra asko jaisten zitzaien horko ikasleei.	Hizkuntza mailak eragina zuen selektibitateko nota orokorrean.	0
g1	dialectal	bizkaia	prem19	Oin arte euskera maila bajuengaitik, selektibidadean nota orokorra asko jasten jaken bertako ikasleei.	Iaz inoiz izan diren nota baxuenak izan ziren selektibitateko azterketetan.	1
g8	dialectal	gipuzkoa	prem19	Orain arte euskera maila eskasagatik, selektibitatian nota orokorra asko jaisten zitzaien horko ikasleei.	Iaz inoiz izan diren nota baxuenak izan ziren selektibitateko azterketetan.	1
g1	dialectal	bizkaia	prem19	Oin arte euskera maila bajuengaitik, selektibidadean nota orokorra asko jasten jaken bertako ikasleei.	Euskara mailak ez zuen garrantzirik selektibitateko notan.	2
g8	dialectal	gipuzkoa	prem19	Orain arte euskera maila eskasagatik, selektibitatian nota orokorra asko jaisten zitzaien horko ikasleei.	Euskara mailak ez zuen garrantzirik selektibitateko notan.	2
g5	dialectal	gipuzkoa	prem20	Launak esate u, mundu guztin ibili an arren, gaixotze an eunen bertan itzuliko ala Euskal Herria.	Munduan zehar dabil laguna.	0
g5	dialectal	gipuzkoa	prem20	Launak esate u, mundu guztin ibili an arren, gaixotze an eunen bertan itzuliko ala Euskal Herria.	Laguna ez zen Euskal Herrian jaio.	1
g5	dialectal	gipuzkoa	prem20	Launak esate u, mundu guztin ibili an arren, gaixotze an eunen bertan itzuliko ala Euskal Herria.	Lagunak betiko munduan zehar ibiltzeko asmoa duela dio.	2
g3	berridazketa	gipuzkoa	prem21	40 urte pasata ere 'Alien' pelikula asko ikusten da oraindik	Duela lau hamarkada baino gehiago egin zen 'Alien, zortzigarren bidaiaria' filma.	0
g3	berridazketa	gipuzkoa	prem21	40 urte pasata ere 'Alien' pelikula asko ikusten da oraindik	Alien, zortzigarren bidaiaria' filmak ez zuen bereziki kritika onik jaso hasieran.	1
g3	berridazketa	gipuzkoa	prem21	40 urte pasata ere 'Alien' pelikula asko ikusten da oraindik	Alien, zortzigarren bidaiaria' filma laster estreinatuko da.	2
g2	dialectal	bizkaia	prem22	Geure biarra askotan gatxe ra, oso gogorra eta oso baltza ixan leike, eta lantzin behin umorea jo bir dou	Gogorra izaten da gure lana behin baino gehiagotan.	0
g2	dialectal	bizkaia	prem22	Geure biarra askotan gatxe ra, oso gogorra eta oso baltza ixan leike, eta lantzin behin umorea jo bir dou	Lankideen artean harreman ona dugu, nahiz eta batzuetan desadostasun batzuk ere izaten ditugun.	1
g2	dialectal	bizkaia	prem22	Geure biarra askotan gatxe ra, oso gogorra eta oso baltza ixan leike, eta lantzin behin umorea jo bir dou	Lanean oso serio egon behar izaten dugu beti.	2
g5	dialectal	gipuzkoa	prem23	Jakiña da osasun sistema publiko batea hurbiltze an eozeiñek aurkituko ula akatsa ta haserretzeko bidia zerbaitekin.	Osasun sistema publikoan akatsak egoten dira.	0
g5	dialectal	gipuzkoa	prem23	Jakiña da osasun sistema publiko batea hurbiltze an eozeiñek aurkituko ula akatsa ta haserretzeko bidia zerbaitekin.	Osasun sistema publikoko medikuak haserre daude hartu diren neurriekin.	1
g5	dialectal	gipuzkoa	prem23	Jakiña da osasun sistema publiko batea hurbiltze an eozeiñek aurkituko ula akatsa ta haserretzeko bidia zerbaitekin.	Hemengo osasun sistema publikoa perfektua dela esan daiteke.	2
s1	dialectal	bizkaia	prem24	Haurraitzik, gende gaztientzako auzo elkartie ezta erakargarridxe.	Auzo elkartera hurbiltzen den jende gehiena heldua da.	0
s1	dialectal	bizkaia	prem24	Haurraitzik, gende gaztientzako auzo elkartie ezta erakargarridxe.	Auzo elkarteak hogei urte bete zituen iaz.	1
s1	dialectal	bizkaia	prem24	Haurraitzik, gende gaztientzako auzo elkartie ezta erakargarridxe.	Gazte asko dabil auzo elkartean azken aldian.	2
s4	dialectal	gipuzkoa	prem25	Foru Aldundiak sortu zun sariya, Antton Abbadie sariya, ondo meezitako laudoriyua izan da.	Merezi zuen Antton Abbadie saria jasotzea.	0
s4	dialectal	gipuzkoa	prem25	Foru Aldundiak sortu zun sariya, Antton Abbadie sariya, ondo meezitako laudoriyua izan da.	Antton Abbadie sariaz gain beste batzuk ere jaso ditu.	1
s4	dialectal	gipuzkoa	prem25	Foru Aldundiak sortu zun sariya, Antton Abbadie sariya, ondo meezitako laudoriyua izan da.	Foru Aldundiari Antton Abbadie saria eman zioten.	2
g6	dialectal	gipuzkoa	prem26	Liburu honetan, beraien adierazpenak eta hizkeraren xehetasunak jaso dia.	Haiek adierazitakoak liburuan jasota geratu dira.	0
g6	dialectal	gipuzkoa	prem26	Liburu honetan, beraien adierazpenak eta hizkeraren xehetasunak jaso dia.	Liburua idatzi duena pertsona ezaguna da.	1
g6	dialectal	gipuzkoa	prem26	Liburu honetan, beraien adierazpenak eta hizkeraren xehetasunak jaso dia.	Liburuan ezer gutxi dago hizkerari buruz.	2
s1	dialectal	bizkaia	prem27	Bertan atatako argazkidxekaz etorkizuneko eraikuntza konparatie interesgarridxe izengo zandan.	Argazkiak atera dira bertan.	0
s1	dialectal	bizkaia	prem27	Bertan atatako argazkidxekaz etorkizuneko eraikuntza konparatie interesgarridxe izengo zandan.	Etorkizuneko eraikuntza hobea izango da.	1
s1	dialectal	bizkaia	prem27	Bertan atatako argazkidxekaz etorkizuneko eraikuntza konparatie interesgarridxe izengo zandan.	Aspergarria da eraikuntzak konparatzen aritzea.	2
g3	berridazketa	gipuzkoa	prem28	Frontoiak 65 leku ditu ezintasun fisikoren bat dutenentzat eta Trinketak 16.	Pilotalekuak eserleku gehiago ditu mugikortasun urriko pertsonentzat Trinketak baino.	0
g3	berridazketa	gipuzkoa	prem28	Frontoiak 65 leku ditu ezintasun fisikoren bat dutenentzat eta Trinketak 16.	Jende gehiago joan ohi da Pilotalekura partiduak ikustera Trinketara baino.	1
g3	berridazketa	gipuzkoa	prem28	Frontoiak 65 leku ditu ezintasun fisikoren bat dutenentzat eta Trinketak 16.	Trinketak Pilotalekuak adina eserleku baditu gutxienez mugikortasun urriko pertsonentzat.	2
s2	noka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri diñat urrin.	Urrian Donostian egon nintzen.	0
s2	toka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri dit urrin.	Urrian Donostian egon nintzen.	0
s2	dialectal	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berriet urrin.	Urrian Donostian egon nintzen.	0
s2	noka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri diñat urrin.	Akuariumean hiru aldiz egon naiz guztira.	1
s2	toka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri dit urrin.	Akuariumean hiru aldiz egon naiz guztira.	1
s2	dialectal	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berriet urrin.	Akuariumean hiru aldiz egon naiz guztira.	1
s2	noka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri diñat urrin.	Udazken osoan Akuariumera joan gabe egon naiz.	2
s2	toka	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berri dit urrin.	Udazken osoan Akuariumera joan gabe egon naiz.	2
s2	dialectal	gipuzkoa	prem29	Donostiko Akuariumen bixita gidatue in berriet urrin.	Udazken osoan Akuariumera joan gabe egon naiz.	2
s2	noka	gipuzkoa	prem30	Aldaketa baten sartuta geren ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Besteak beste, hizkuntza irizpideak berrikusten ari gara.	0
s2	toka	gipuzkoa	prem30	Aldaketa baten sartuta gerek ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Besteak beste, hizkuntza irizpideak berrikusten ari gara.	0
s2	dialectal	gipuzkoa	prem30	Aldaketa baten sartuta gaude ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Besteak beste, hizkuntza irizpideak berrikusten ari gara.	0
s2	noka	gipuzkoa	prem30	Aldaketa baten sartuta geren ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketaren helburu nagusia hizkuntza gehiago ikasteko aukera erraztea da.	1
s2	toka	gipuzkoa	prem30	Aldaketa baten sartuta gerek ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketaren helburu nagusia hizkuntza gehiago ikasteko aukera erraztea da.	1
s2	dialectal	gipuzkoa	prem30	Aldaketa baten sartuta gaude ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketa batzuk egiteko asmoa genuela zirudien, baina azkenean berdin jarraitzea erabaki dugu.	2
s2	toka	gipuzkoa	prem30	Aldaketa baten sartuta gerek ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketa batzuk egiteko asmoa genuela zirudien, baina azkenean berdin jarraitzea erabaki dugu.	2
s2	noka	gipuzkoa	prem30	Aldaketa baten sartuta geren ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketa batzuk egiteko asmoa genuela zirudien, baina azkenean berdin jarraitzea erabaki dugu.	2
s2	dialectal	gipuzkoa	prem30	Aldaketa baten sartuta gaude ordea ta tarten hizkuntza irizpiden berrikuspenen e bai.	Aldaketaren helburu nagusia hizkuntza gehiago ikasteko aukera erraztea da.	1
g8	toka	gipuzkoa	prem31	Iluntasunian sortu dituk gure burumuinak gobernatzen dituzten kondaira interesgarriyenak.	Ezin dugu jakin nondik datozen kondaira interesgarri guztiak.	1
g1	dialectal	bizkaia	prem31	Iluntasunian sortu dira gure burmuinak gobernetan dabezan kondaira interesgarrienak.	Ezin dugu jakin nondik datozen kondaira interesgarri guztiak.	1
g8	toka	gipuzkoa	prem31	Iluntasunian sortu dituk gure burumuinak gobernatzen dituzten kondaira interesgarriyenak.	Gure burmuineko kondaira interesgarrienak iluntasunean sortuak dira.	0
g1	dialectal	bizkaia	prem31	Iluntasunian sortu dira gure burmuinak gobernetan dabezan kondaira interesgarrienak.	Gure burmuineko kondaira interesgarrienak iluntasunean sortuak dira.	0
g8	toka	gipuzkoa	prem31	Iluntasunian sortu dituk gure burumuinak gobernatzen dituzten kondaira interesgarriyenak.	Gure burmuineko kondaira interesgarri guztiak argitan sortzen dira.	2
g1	dialectal	bizkaia	prem31	Iluntasunian sortu dira gure burmuinak gobernetan dabezan kondaira interesgarrienak.	Gure burmuineko kondaira interesgarri guztiak argitan sortzen dira.	2
g6	dialectal	gipuzkoa	prem32	Lehenengo egunian hiru taldekin topatu ginen; bakarra zan euskaraz.	Lehen eguneko taldeak oso heterogeneoak ziren, adin eta kultura ezberdinetako jendea zegoen.	1
g6	dialectal	gipuzkoa	prem32	Lehenengo egunian hiru taldekin topatu ginen; bakarra zan euskaraz.	Lehen egunean topo egindako taldeen herena euskaraz zen.	0
g6	dialectal	gipuzkoa	prem32	Lehenengo egunian hiru taldekin topatu ginen; bakarra zan euskaraz.	Lehen egunean topatutako talde gehienak euskaraz ziren.	2
g7	dialectal	gipuzkoa	prem33	Donostin gaztelerazko ikastarotan ume asko ibiltzen da.	Donostian gaztelaniazko ikastaroak hutsik daude.	2
g7	dialectal	gipuzkoa	prem33	Donostin gaztelerazko ikastarotan ume asko ibiltzen da.	Donostian gurasoek ume asko gaztelaniazko ikastaroetara eramaten dituzte.	0
g7	dialectal	gipuzkoa	prem33	Donostin gaztelerazko ikastarotan ume asko ibiltzen da.	Donostian haur ikastaroak arratsaldeetan dira.	1
g6	dialectal	gipuzkoa	prem34	Billetea errekuperatzeko, interneten zure espedientea sartu behar zea.	Egoitza elektronikoko zure espedientera sartu eta astebeteko tartean berreskuratuko duzu bidaia-txartela.	1
g6	dialectal	gipuzkoa	prem34	Billetea errekuperatzeko, interneten zure espedientea sartu behar zea.	Bidaia-txartela berreskuratzeko telefonoz deitzearekin nahikoa da.	2
g6	dialectal	gipuzkoa	prem34	Billetea errekuperatzeko, interneten zure espedientea sartu behar zea.	Egoitza elektronikoan zure espedientera sartuz berreskuratu dezakezu bidaia-txartela.	0
